"ID_REF"	"GSM3211361"	"GSM3211362"	"GSM3211363"	"GSM3211364"	"GSM3211365"	"GSM3211366"
"hsa-let-7a-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-let-7a-5p"	7.2088	6.3818	6.7224	7.6185	6.4608	6.1191
"hsa-let-7b-3p"	0.4539	0.6313	-0.1059	-3.2487	0.1695	0.9640
"hsa-let-7b-5p"	6.3942	5.5387	5.9757	6.6882	5.6962	5.6643
"hsa-let-7c-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-let-7c-5p"	4.5487	3.6664	4.1301	4.9265	3.9240	3.7707
"hsa-let-7d-3p"	-2.8680	-3.2535	-0.1059	0.0732	0.1695	-3.9811
"hsa-let-7d-5p"	4.6146	3.8313	4.2533	5.0186	4.0305	3.7379
"hsa-let-7e-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-let-7e-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-let-7f-1-3p"	0.4539	0.5890	-0.1059	-3.2487	0.7750	0.5998
"hsa-let-7f-2-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-let-7f-5p"	6.7523	5.8975	6.3120	7.3269	6.1113	5.8142
"hsa-let-7g-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-let-7g-5p"	4.7212	3.8644	4.3563	5.0565	3.9138	3.8025
"hsa-let-7i-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-let-7i-5p"	3.8805	2.9580	3.5398	4.6488	3.5618	3.4376
"hsa-miR-1-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-100-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-100-5p"	5.3548	4.5258	5.2202	5.2661	4.5040	4.2329
"hsa-miR-101-3p"	-2.8680	-3.2535	-0.0445	1.7296	-3.1524	-3.9811
"hsa-miR-101-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-103a-2-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-103a-3p"	4.1523	3.2584	3.9080	4.4620	3.4617	3.2887
"hsa-miR-103b"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
