ID_REF	GSM4025386	GSM4025387	GSM4025388	GSM4025389	GSM4025390
10008	8.438572	8.319096	8.374868	8.868129	8.506585
10010	6.6492753	6.699458	6.701378	6.5597315	6.6530366
10014	6.9665823	6.839223	6.7615347	6.888425	6.954881
10017	6.8930187	6.838933	6.889148	6.762835	6.8994217
10019	7.072905	7.069146	7.179117	7.164815	7.062813
10020	6.557984	6.6268473	6.6674085	6.6583676	6.544917
10021	7.516048	7.736384	7.7441063	7.6293936	7.8440657
10025	13.256985	13.172869	13.191061	13.769391	13.145339
10035	6.38528	6.449587	6.450089	6.2691526	6.4904995
10039	7.024444	6.9443803	6.874917	7.06428	6.922873
10040	6.6576986	6.6364326	6.722308	6.775218	6.664227
10041	6.604721	6.626633	6.561776	6.5732007	6.526097
10044	6.812812	6.7393436	6.816391	6.6654882	6.8993926
10047	6.524324	6.620985	6.501349	6.6967177	6.674967
10048	8.6537485	8.668484	8.678917	8.484518	8.778204
10050	7.8889356	7.7658052	7.9360013	7.3647985	7.4389305
10053	6.565341	6.5821743	6.5736628	6.6023054	6.525832
10056	6.889754	6.952541	6.928883	6.868973	6.858486
10059	11.750122	11.793672	11.679731	11.430892	11.663472
10064	10.258396	10.1644125	10.133938	10.173601	10.178694
10066	7.2141333	7.0052586	6.9924517	6.9526234	7.1680965
10068	9.562436	9.551721	9.542663	9.567181	9.3578825
10070	6.5199137	6.4503765	6.3747587	6.422669	6.4491777
10072	9.519814	9.751161	9.813502	9.936731	9.849323
10079	6.547635	6.6185513	6.543988	6.5430393	6.5836115
10082	10.757992	10.675964	10.6656065	11.007451	10.819571
10086	10.040714	10.059356	9.942958	9.91904	9.904624
10091	7.2537236	7.2572093	7.3306108	7.22829	7.2913895
10092	10.467927	10.471535	10.709934	10.72624	10.529409
10093	7.0008516	6.9472785	7.03608	6.9115996	7.064386
10097	6.555388	6.6702347	6.56283	6.545581	6.592964
10102	6.714354	6.7418	6.7108054	6.6677094	6.485431
10110	6.6378427	6.5209365	6.632128	6.6239686	6.5684786
10112	6.7648497	6.6748323	6.830345	6.8183327	6.628918
10113	6.7469816	6.7608633	6.6145296	6.6990843	6.7516317
10114	6.764735	6.8130965	6.733731	6.8376	6.8917427
10121	9.309845	9.433154	9.400581	9.051949	9.163948
10128	6.673497	6.835183	6.8796835	6.7326536	6.812235
10129	6.5670867	6.4799104	6.4779468	6.687431	6.4810586
10132	6.5959315	6.5728884	6.4174223	6.432007	6.305113
10133	9.584302	9.538469	9.513807	9.407408	9.457697
10136	6.5262494	6.397001	6.483882	6.643436	6.468314
10138	6.816201	7.011056	6.8756266	6.8532243	6.922225
10139	6.7022376	6.7548265	6.644355	6.7289977	6.701321
10142	6.9913235	6.9782195	6.8927007	6.8628335	6.8176
10148	6.8285933	6.9401135	6.9235544	6.7802224	6.90811
10154	6.6279736	6.5777397	6.6088524	6.6819854	6.562705
10156	7.0663395	7.0466228	7.112778	7.0577507	6.9715595
10161	6.5292964	6.703648	6.598092	6.483612	6.6451235
10162	6.7164087	6.606803	6.6353297	6.6385813	6.6060066
10164	6.705796	6.559238	6.6401114	6.5504017	6.5836964
10167	6.8545823	6.9091105	6.793137	6.8181133	6.6101074
10168	7.235669	7.0449367	7.177112	7.164013	6.9983854
10176	6.5649567	6.6203165	6.4820695	6.5250826	6.414049
10181	6.5261707	6.453004	6.5733957	6.604676	6.607491
10184	6.5288215	6.551945	6.6373506	6.4864135	6.5930367
10187	6.503844	6.5626636	6.3824244	6.357065	6.3946543
10192	7.073177	7.033021	6.97663	7.0506463	6.9167175
10193	6.49275	6.66618	6.570457	6.7542505	6.728281
10195	6.548765	6.4138002	6.5121794	6.4127026	6.498778
10196	6.819783	6.8038907	6.763118	6.915995	6.6759396
10201	10.413362	10.313107	10.429211	10.545421	10.460571
10202	6.3888416	6.464524	6.263907	6.4203796	6.535714
10204	7.0518847	7.1168017	7.1190953	7.1818504	6.9967146
10209	6.717748	6.738879	6.6832685	6.8409224	6.6426535
10215	7.113106	7.206473	7.144855	7.2550135	7.2401533
10220	6.898602	6.9048777	6.9681563	6.797426	6.8067636
10221	6.97931	6.8433113	6.8892903	7.044995	6.7507925
10224	11.901629	11.934005	11.916317	12.176285	11.895544
10239	8.40881	8.459993	8.38999	8.564479	8.565119
10240	8.044494	8.191523	8.057382	8.231037	8.042466
10241	6.936184	6.971607	6.8698463	6.798007	6.8293533
10243	6.5934305	6.6205964	6.6520567	6.662347	6.6327806
10246	7.3876696	7.3471785	7.383373	7.613247	7.4298573
10253	6.9804792	7.0736504	7.0227633	6.9808917	6.933293
10259	6.5735383	6.522107	6.549424	6.5841393	6.4572644
10273	9.23809	9.159684	9.152497	9.092338	9.192816
10274	7.118008	6.852722	6.866481	6.9067965	6.787094
10279	6.7086	6.6325564	6.663852	6.6187606	6.673277
10280	10.751852	10.910618	10.954973	11.292335	10.603743
10286	7.6484947	7.680313	7.636885	7.7079043	7.7447886
10288	6.3785024	6.423196	6.603763	6.7439528	6.4865174
10289	7.4702663	7.5021353	7.4342785	7.662516	7.415288
10291	6.6672263	6.742833	6.5748844	6.607896	6.645465
10292	8.786999	8.759116	8.6543455	8.566041	8.592374
10296	9.872617	9.914386	9.7828865	10.07384	10.24856
10301	6.7254663	6.676022	6.6800942	6.601346	6.7101116
10307	6.8295755	6.8528414	6.781329	6.824093	6.6944556
10309	6.702825	6.654329	6.5788608	6.6433887	6.621239
10315	8.0790825	8.038142	8.122976	8.128532	7.9898605
10324	6.534046	6.370199	6.5274596	6.336743	6.4518247
10326	6.4810295	6.546754	6.561795	6.483751	6.496828
10327	6.897863	6.9268365	6.8872986	6.8750534	6.942361
10332	7.3882184	7.2327037	7.2610483	7.010759	7.0820937
10333	12.6157055	12.558928	12.560367	12.7008915	12.666277
10338	10.013442	9.970447	10.059356	10.296769	10.06694
10341	6.507468	6.4653125	6.621608	6.5483704	6.6097336
10343	7.5564137	7.6241374	7.717114	7.8045216	7.7168684
10348	7.0866	7.0218678	7.002821	7.0184097	7.0313277
10356	6.429039	6.447509	6.495508	6.2915373	6.4344993
10358	10.417881	10.566816	10.533249	10.357599	10.396165
10360	6.714626	6.6871624	6.6942296	6.772217	6.8313603
10364	7.348287	7.5909867	7.532572	7.511012	7.681867
10367	6.7375045	6.900064	6.769541	6.945865	6.6688175
10369	6.744654	6.8368454	6.7223682	6.775014	6.7453284
10370	10.710987	10.337462	10.579188	10.101416	9.831658
10372	6.6466694	6.8397074	6.7141924	6.9412527	6.8298492
10376	6.8149705	6.8005075	6.7929177	6.5987897	6.8734336
10377	6.8096175	6.7517376	6.890838	6.7849655	6.8018193
10379	6.3831835	6.450283	6.4360456	6.126124	6.340566
10382	6.758247	6.7328157	6.6653237	6.752631	6.7605643
10386	6.8748136	6.9251947	6.8955975	6.7336855	6.886559
10390	6.952341	6.8989663	6.7814507	6.769151	6.9384975
10392	6.915327	6.867805	6.7898808	6.71715	6.6723986
10397	7.0892954	7.0185437	7.111045	6.9547863	6.996375
10400	6.9093075	6.7501044	6.823242	6.721413	6.67409
10402	6.5049825	6.5730834	6.51413	6.5802674	6.4521456
10403	6.9211893	7.0902877	6.8840065	6.821964	6.80908
10408	7.1252885	7.0941124	7.0317597	7.0025573	6.9195294
10411	6.475073	6.4554963	6.5575523	6.453049	6.4696717
10414	8.764025	8.762286	8.759864	8.511334	8.941583
10424	10.388063	10.338709	10.37335	10.351647	10.448111
