ID_REF	GSM3211361	GSM3211362	GSM3211363
hsa-let-7a-3p	-2.868	-3.2535	-3.4279
hsa-let-7a-5p	7.2088	6.3818	6.7224
hsa-let-7b-3p	0.4539	0.6313	-0.1059
hsa-let-7b-5p	6.3942	5.5387	5.9757
hsa-let-7c-3p	-2.868	-3.2535	-3.4279
hsa-let-7c-5p	4.5487	3.6664	4.1301
hsa-let-7d-3p	-2.868	-3.2535	-0.1059
hsa-let-7d-5p	4.6146	3.8313	4.2533
hsa-let-7e-3p	-2.868	-3.2535	-3.4279
hsa-let-7e-5p	-2.868	-3.2535	-3.4279
hsa-let-7f-1-3p	0.4539	0.589	-0.1059
hsa-let-7f-2-3p	-2.868	-3.2535	-3.4279
hsa-let-7f-5p	6.7523	5.8975	6.312
hsa-let-7g-3p	-2.868	-3.2535	-3.4279
hsa-let-7g-5p	4.7212	3.8644	4.3563
hsa-let-7i-3p	-2.868	-3.2535	-3.4279
hsa-let-7i-5p	3.8805	2.958	3.5398
hsa-miR-1-3p	-2.868	-3.2535	-3.4279
hsa-miR-1-5p	-2.868	-3.2535	-3.4279
hsa-miR-100-3p	-2.868	-3.2535	-3.4279
hsa-miR-100-5p	5.3548	4.5258	5.2202
hsa-miR-101-3p	-2.868	-3.2535	-0.0445
hsa-miR-101-5p	-2.868	-3.2535	-3.4279
hsa-miR-103a-2-5p	-2.868	-3.2535	-3.4279
hsa-miR-103a-3p	4.1523	3.2584	3.908
hsa-miR-103b	-2.868	-3.2535	-3.4279
hsa-miR-105-3p	-2.868	-3.2535	-3.4279
hsa-miR-105-5p	-2.868	-3.2535	-3.4279
hsa-miR-106a-3p	-2.868	-3.2535	-3.4279
hsa-miR-106b-3p	-2.868	-3.2535	-3.4279
hsa-miR-106b-5p	5.8606	5.1	5.8236
hsa-miR-107	4.0395	3.1936	3.6742
hsa-miR-10a-3p	-2.868	-3.2535	-3.4279
hsa-miR-10a-5p	1.0988	0.2104	1.2667
hsa-miR-10b-3p	-2.868	0.9537	-3.4279
hsa-miR-10b-5p	-2.868	-3.2535	-3.4279
hsa-miR-1178-3p	-2.868	-3.2535	-3.4279
hsa-miR-1178-5p	-2.868	-3.2535	-3.4279
hsa-miR-1179	-2.868	-3.2535	-3.4279
hsa-miR-1180-3p	-2.868	-3.2535	-3.4279
hsa-miR-1180-5p	-2.868	-3.2535	-3.4279
hsa-miR-1181	-2.868	3.3972	3.0865
