ID_REF	GSM3683663	GSM3683664	GSM3683665
hsa-let-7a-3p	0.025395136	0.024119124	0.019560038
hsa-let-7a-5p	0.025395136	0.024119124	0.019560038
hsa-let-7b-3p	0.623695835	0.435917915	0.509695316
hsa-let-7b-5p	0.025395136	0.024119124	0.019560038
hsa-let-7c-3p	0.025395136	0.024119124	0.019560038
hsa-let-7c-5p	0.025395136	0.024119124	0.019560038
hsa-let-7d-3p	0.025395136	0.024119124	0.019560038
hsa-let-7d-5p	0.025395136	0.024119124	0.019560038
hsa-let-7e-3p	0.025395136	0.024119124	0.019560038
hsa-let-7e-5p	0.025395136	0.024119124	0.019560038
hsa-let-7f-1-3p	0.713592808	0.652431679	0.543411311
hsa-let-7f-2-3p	0.025395136	0.024119124	0.019560038
hsa-let-7f-5p	0.025395136	0.024119124	0.019560038
hsa-let-7g-3p	0.025395136	0.024119124	0.019560038
hsa-let-7g-5p	0.025395136	0.024119124	0.019560038
hsa-let-7i-3p	0.025395136	0.024119124	0.019560038
hsa-let-7i-5p	0.025395136	0.024119124	0.019560038
hsa-miR-1-3p	0.025395136	0.024119124	0.019560038
hsa-miR-1-5p	0.025395136	0.024119124	0.019560038
hsa-miR-100-3p	0.025395136	0.024119124	0.019560038
hsa-miR-100-5p	0.025395136	0.024119124	0.019560038
hsa-miR-101-3p	0.025395136	0.024119124	0.019560038
hsa-miR-101-5p	0.025395136	0.024119124	0.019560038
hsa-miR-103a-2-5p	0.025395136	0.024119124	0.019560038
hsa-miR-103a-3p	0.025395136	0.024119124	0.019560038
hsa-miR-103b	0.025395136	0.024119124	0.019560038
hsa-miR-105-3p	0.025395136	0.024119124	0.019560038
hsa-miR-105-5p	0.025395136	0.024119124	0.019560038
hsa-miR-106a-3p	0.025395136	0.024119124	0.019560038
hsa-miR-106b-3p	0.025395136	0.024119124	0.019560038
hsa-miR-106b-5p	0.025395136	0.024119124	0.019560038
hsa-miR-107	0.025395136	0.024119124	0.019560038
hsa-miR-10a-3p	0.025395136	0.024119124	0.019560038
hsa-miR-10a-5p	0.025395136	0.024119124	0.019560038
hsa-miR-10b-3p	0.025395136	0.024119124	0.019560038
hsa-miR-10b-5p	0.025395136	0.024119124	0.019560038
hsa-miR-1178-3p	0.025395136	0.024119124	0.019560038
hsa-miR-1178-5p	0.025395136	0.024119124	0.019560038
hsa-miR-1179	0.025395136	0.024119124	0.019560038
hsa-miR-1180-3p	0.025395136	0.024119124	0.019560038
hsa-miR-1180-5p	0.025395136	0.024119124	0.019560038
hsa-miR-1181	4.014346086	2.388919765	3.424819369
hsa-miR-1182	0.025395136	0.241191221	0.541423683
hsa-miR-1183	0.025395136	0.024119124	0.019560038
hsa-miR-1184	0.025395136	0.024119124	0.019560038
hsa-miR-1185-1-3p	1.605386421	1.443293142	2.135699101
hsa-miR-1185-2-3p	0.412929931	0.6710929	1.001796326
hsa-miR-1185-5p	0.025395136	0.024119124	0.019560038
hsa-miR-1193	0.025395136	0.024119124	0.019560038
hsa-miR-1197	0.025395136	0.024119124	0.019560038
hsa-miR-1199-3p	0.025395136	0.024119124	0.019560038
hsa-miR-1199-5p	0.025395136	0.024119124	0.21536964
hsa-miR-1200	0.025395136	0.024119124	0.019560038
hsa-miR-1202	28.72403061	34.9607929	43.18073813
hsa-miR-1203	0.025395136	0.024119124	0.019560038
hsa-miR-1204	0.025395136	0.024119124	0.019560038
hsa-miR-1205	0.025395136	0.024119124	0.019560038
hsa-miR-1206	0.025395136	0.024119124	0.019560038
hsa-miR-1207-3p	0.025395136	0.024119124	0.019560038
hsa-miR-1207-5p	93.83655865	86.90984456	81.00628831
hsa-miR-1208	0.025395136	0.024119124	0.019560038
hsa-miR-122-3p	0.025395136	0.024119124	0.019560038
hsa-miR-122-5p	0.025395136	0.024119124	0.019560038
hsa-miR-1224-3p	0.025395136	0.024119124	0.019560038
hsa-miR-1224-5p	1.993126668	2.265634595	1.744635136
hsa-miR-1225-5p	189.8946697	266.4769617	134.8787817
