ID_REF	GSM4025391	GSM4025392	GSM4025393	GSM4025394	GSM4025395
10008	8.418337	8.391186	8.780276	8.412973	8.545843
10010	6.703346	6.77361	6.5028205	6.678095	6.5169973
10014	6.9696608	6.846183	6.8977885	7.003829	6.9849935
10017	6.8519206	6.879528	6.8516045	7.0829434	6.8640194
10019	7.7263145	7.446162	7.555868	7.659713	7.6134496
10020	6.638642	6.670026	6.6877847	6.5958176	6.76618
10021	7.7868953	7.7447886	7.770403	7.8777204	7.8472633
10025	12.557568	12.7567005	13.4912615	12.5612755	12.894152
10035	6.503085	6.4623027	6.456753	6.5315843	6.488854
10039	6.9868016	6.905481	6.8150153	6.924986	6.7995605
10040	6.4504886	6.5627723	6.4890285	6.5849643	6.6326513
10041	6.732106	6.6122704	6.5911975	6.567303	6.4560175
10044	6.724529	6.7921696	6.7507925	6.820344	6.8502555
10047	6.5565352	6.616241	6.5512	6.6303005	6.6547303
10048	8.667347	8.6377	8.646602	8.791955	8.6917925
10050	8.13575	8.09861	8.130726	7.8900256	7.6177087
10053	6.628537	6.594324	6.564532	6.475342	6.5683784
10056	6.9240685	7.016899	6.9422417	6.863422	6.8237233
10059	11.369875	11.248664	11.149094	11.392213	11.200403
10064	9.959483	9.8879385	9.778194	9.907398	9.954939
10066	7.0284333	7.0695624	7.1074977	7.125551	7.229633
10068	9.780653	9.742964	9.604195	9.638856	9.640312
10070	6.468044	6.376003	6.5371222	6.4030504	6.389791
10072	9.336749	9.949924	10.046982	9.599312	9.826598
10079	6.5790324	6.4182353	6.5434904	6.512588	6.5590405
10082	10.747539	10.941654	11.108111	10.692397	11.103511
10086	9.526238	9.0272045	9.232304	9.361918	9.419702
10091	7.2240276	7.1651354	7.25165	7.29404	7.380921
10092	10.46142	10.712539	10.693858	10.47385	10.534855
10093	6.9307227	6.993304	6.9434614	7.099564	7.0856485
10097	6.534885	6.5435414	6.5354314	6.430928	6.558259
10102	6.7410617	6.738661	6.6603174	6.623856	6.7044325
10110	6.6482286	6.5294914	6.558765	6.561795	6.5637035
10112	6.8237586	6.716646	6.7801166	6.5923486	6.7463846
10113	6.742282	6.839843	6.7932634	6.7448378	6.760796
10114	6.704816	6.7716165	6.66343	6.913031	6.8312435
10121	9.081709	8.893191	8.544184	8.841451	8.824868
10128	6.801982	6.922429	6.8365264	6.8567147	6.952768
10129	6.515902	6.56227	6.6053576	6.491833	6.4542427
10132	6.6313744	6.4937925	6.467521	6.3856263	6.4170933
10133	9.429185	9.281688	9.237012	9.370328	9.346664
10136	6.4076805	6.5998545	6.372554	6.5194345	6.430295
10138	6.90596	6.883467	6.9194427	6.887766	6.959335
10139	6.7167315	6.6742916	6.614265	6.6486387	6.542763
10142	6.9669886	6.879712	6.8570995	6.699274	6.784336
10148	7.0323186	7.003043	7.1115026	7.028374	7.1133294
10154	6.6065383	6.7643223	6.7164283	6.668843	6.7278867
10156	7.010454	6.947244	6.931791	6.947368	6.9887695
10161	6.66983	6.7607136	6.5646067	6.706154	6.5554757
10162	6.6359954	6.7408667	6.82902	6.607046	6.702076
10164	6.562944	6.7124386	6.61744	6.531805	6.701278
10167	6.7521605	6.802584	6.711745	6.6451874	6.7054567
10168	7.255818	7.1961575	7.0656724	7.1099086	6.995441
10176	6.4912047	6.509982	6.5955343	6.4450617	6.453616
10181	6.5095654	6.547508	6.611626	6.647221	6.56419
10184	6.5695233	6.5829115	6.7287145	6.594137	6.5993767
10187	6.535147	6.463649	6.557534	6.5018005	6.5404224
10192	6.9755597	6.9156785	7.07659	6.9843287	7.1833544
10193	6.510103	6.592298	6.7128434	6.6212983	6.6290646
10195	6.4987936	6.333333	6.452815	6.357291	6.449923
10196	6.760382	6.745762	6.5967817	6.7300806	6.523074
10201	9.76289	9.315129	8.904321	9.372818	9.440058
10202	6.484217	6.476142	6.414493	6.4440284	6.4930835
10204	7.3226376	7.972137	7.4270616	7.3269687	7.3477097
10209	6.5715117	6.587689	6.5043993	6.628663	6.6705084
10215	7.280528	7.234084	7.1232257	7.22849	7.1802783
10220	6.7580533	6.8477545	6.870825	7.0642524	7.013049
10221	6.903914	6.836811	6.952983	6.7474694	6.9312925
10224	12.7511015	12.980324	12.91079	12.676041	12.607246
10239	8.423676	8.572812	8.469591	8.630029	8.661182
10240	9.117483	9.218109	9.497294	9.135809	9.462673
10241	6.879571	6.9478703	6.962988	7.0243473	7.1330404
10243	6.644765	6.5561466	6.6046157	6.535876	6.540683
10246	7.5442977	7.4401875	7.4813128	7.729944	7.930588
10253	7.0350523	6.923642	6.913259	6.859097	6.960112
10259	6.622549	6.6405377	6.4814878	6.710419	6.588563
10273	9.026251	8.556181	8.727595	8.998682	8.964372
10274	6.9851604	6.904655	6.8509464	6.8339295	6.75844
10279	6.6282845	6.7441044	6.593072	6.5765452	6.9671745
10280	10.66377	10.920212	11.064011	10.600315	10.868515
10286	7.7123504	7.8167195	7.902927	7.816169	7.787157
10288	6.5192833	6.538133	6.547655	6.4956045	6.4247756
10289	7.5452003	7.3081827	7.447707	7.4345717	7.5437565
10291	6.632731	6.692957	6.6186647	6.6964364	6.7853394
10292	8.539323	8.542948	8.236498	8.526732	8.716908
10296	10.3135605	10.504382	10.709385	10.433216	10.747063
10301	6.724308	6.6686387	6.6179967	6.5745935	6.5335274
10307	6.679424	6.8409224	6.9715595	6.840559	6.9871593
10309	6.642098	6.590096	6.631158	6.5572634	6.5375247
10315	8.305518	8.46287	8.5587435	8.234573	8.156665
10324	6.4093876	6.627753	6.5000615	6.399226	6.490658
10326	6.569066	6.5511303	6.5578313	6.5121794	6.338746
10327	6.6857214	6.878134	6.857585	6.7595067	6.897149
10332	7.3400297	7.155734	6.9996834	6.9479356	6.9453044
10333	12.616554	12.827481	12.488626	12.671553	12.641712
10338	9.967744	10.476485	10.086879	9.988527	10.247812
10341	6.49577	6.673237	6.6236157	6.60847	6.618819
10343	8.197651	8.587842	8.69438	8.532873	8.795613
10348	7.1025996	6.8324447	6.836289	6.8599358	6.8567867
10356	6.4802856	6.488104	6.4550896	6.418715	6.387005
10358	10.188352	10.1869135	9.674671	10.254856	10.06837
10360	6.684799	6.8364935	6.794183	6.7570314	6.689746
10364	7.576043	7.5623965	7.501719	7.67533	7.7257648
10367	7.125375	7.376584	7.246356	6.812294	6.990047
10369	6.7278438	6.8191314	6.8537397	6.9036527	6.857546
10370	10.112096	10.188725	9.9536	9.578807	9.255138
10372	6.894086	6.652594	6.8537955	6.726521	6.9504533
10376	6.889344	6.7291565	6.765188	6.5896664	6.84273
10377	6.963212	6.7784386	6.8909187	6.961582	6.8876166
10379	6.4966183	6.5111303	6.4886303	6.3770556	6.535799
10382	6.7538695	6.7557673	6.8478355	6.740391	6.6878686
10386	6.974389	6.8384886	6.871955	6.7762938	6.9493046
10390	6.7978044	6.8474483	6.7647552	6.9807067	6.886409
10392	6.7499285	6.660815	6.6898193	6.562931	6.722104
10397	7.086792	7.0901346	7.0799646	6.9831557	7.0728116
10400	6.7363005	6.629419	6.7930655	6.683739	6.6056266
10402	6.496156	6.5351152	6.5095477	6.577821	6.5049257
10403	6.936874	6.9321413	6.8554096	6.917107	6.9402857
10408	7.085706	7.0366173	7.0506463	7.023101	6.823867
10411	6.494357	6.4567323	6.5011663	6.5054526	6.4393506
10414	9.065538	8.782364	8.907682	8.966178	8.853041
10424	10.2514515	10.032052	10.044297	10.333162	10.442903
10427	6.5681767	6.733287	6.6792345	6.7126575	6.709752
10431	6.8896255	6.8801813	6.74475	6.7512293	6.8023453
10435	6.5019016	6.5177383	6.7094083	6.749497	6.6921167
10437	6.702702	6.6603985	6.705849	6.773013	6.5656033
10438	7.0172815	6.8267746	6.971437	6.817464	6.864524
10440	6.6310744	6.581065	6.644228	6.5803967	6.5452223
10446	9.938465	9.892042	9.594224	10.0477085	9.938465
10450	7.031102	7.0610256	7.1109643	7.1983647	7.383688
10458	12.054843	11.365172	11.005861	12.044894	11.77903
10463	6.915995	6.8172626	6.905347	6.7378025	6.7112784
10465	7.146349	7.144855	7.2764525	7.102402	7.0974007
10470	6.615942	6.620302	6.584687	6.6126723	6.4879003
10471	7.648266	7.5891314	7.402899	7.823199	7.7658052
10475	6.4340467	6.3212185	6.402277	6.4068713	6.4903793
10477	8.029774	8.038694	8.014672	8.094671	8.348571
10484	6.4390693	6.575516	6.6857214	6.483493	6.5663705
10487	6.722982	6.7284822	6.639262	6.6270647	6.700943
10491	6.534092	6.417048	6.4340467	6.424577	6.567145
10497	6.8756056	6.897489	6.859062	6.8905854	7.2058587
10500	6.6053934	6.708519	6.7590303	6.6023054	6.593381
10504	6.4860716	6.5898046	6.6269197	6.4732704	6.5325594
10520	6.7152877	6.8485885	6.731324	6.726493	6.76866
10521	6.3384037	6.5044084	6.3399687	6.5329404	6.5974064
10523	7.27156	7.462848	7.606144	7.4093723	7.058717
10524	12.8434725	12.55256	12.422574	12.816999	12.544962
10528	8.218725	7.8315535	7.8068075	8.12833	8.106434
10538	6.714183	6.691288	6.623344	6.5687833	6.618242
10541	6.325181	6.3914757	6.355774	6.339889	6.5019803
10543	10.386798	10.376077	10.455387	10.364576	10.359391
