ID_REF	GSM5101325	GSM5101326	GSM5101327
TC0100006437.hg.1	3.881147	5.183105	3.83047
TC0100006476.hg.1	6.195129	7.42707	6.354918
TC0100006479.hg.1	6.65879	7.437841	6.476123
TC0100006480.hg.1	5.249343	6.213056	5.485829
TC0100006483.hg.1	4.822976	5.991012	4.956582
TC0100006486.hg.1	7.048645	6.932676	7.265688
TC0100006490.hg.1	6.315039	6.367313	6.27692
TC0100006492.hg.1	5.429335	6.082374	5.073359
TC0100006494.hg.1	6.485733	5.883094	7.065306
TC0100006497.hg.1	5.047858	5.821713	4.637485
TC0100006499.hg.1	6.525651	6.754884	6.606863
TC0100006501.hg.1	6.864447	5.686626	6.866447
TC0100006502.hg.1	4.227749	4.914358	4.122725
TC0100006514.hg.1	5.044346	5.081226	4.968684
TC0100006516.hg.1	7.584526	7.460214	7.563237
TC0100006517.hg.1	3.918437	4.081079	4.147346
TC0100006524.hg.1	4.848878	5.145845	4.869329
TC0100006540.hg.1	4.368167	4.933269	4.1342
TC0100006548.hg.1	4.41434	4.286808	3.92852
TC0100006550.hg.1	8.931494	8.020189	8.957728
TC0100006565.hg.1	7.024208	6.065289	7.076721
TC0100006571.hg.1	5.316582	5.455269	6.081196
TC0100006577.hg.1	8.189672	7.152743	8.303392
TC0100006587.hg.1	7.569553	8.256994	7.569707
TC0100006602.hg.1	4.647644	6.041501	4.443444
TC0100006604.hg.1	4.295477	6.34933	4.506057
TC0100006613.hg.1	6.720343	6.71976	6.31927
TC0100006619.hg.1	8.326421	8.493474	8.273336
TC0100006620.hg.1	5.482166	5.545692	5.493484
TC0100006623.hg.1	3.622343	4.283092	3.583102
TC0100006624.hg.1	6.484141	6.220941	6.361963
TC0100006627.hg.1	6.859319	6.669501	6.995241
TC0100006650.hg.1	3.031476	3.559637	2.768709
TC0100006675.hg.1	7.830277	7.508128	7.703885
TC0100006681.hg.1	6.572449	7.14458	6.497163
TC0100006682.hg.1	6.336416	7.93144	6.703208
TC0100006683.hg.1	4.623933	6.913844	4.573787
TC0100006689.hg.1	8.098374	8.537983	8.037279
TC0100006695.hg.1	5.317777	5.077537	4.41812
TC0100006696.hg.1	4.370829	3.882563	3.901738
TC0100006698.hg.1	6.976447	6.258095	7.164524
TC0100006699.hg.1	5.673746	4.647089	4.917638
TC0100006707.hg.1	8.917385	8.098335	8.973353
TC0100006723.hg.1	8.357681	7.265011	8.49075
TC0100006725.hg.1	6.569337	5.983596	6.939675
TC0100006729.hg.1	10.284672	9.564595	10.244131
TC0100006739.hg.1	4.111547	5.083194	4.581952
TC0100006755.hg.1	7.853449	8.014858	7.710438
TC0100006761.hg.1	3.496372	4.545293	3.105515
TC0100006771.hg.1	6.258039	5.794842	6.262733
TC0100006773.hg.1	7.709453	6.837286	7.625165
TC0100006781.hg.1	8.180964	7.116608	8.214367
TC0100006784.hg.1	7.531255	7.740682	7.461149
TC0100006787.hg.1	6.324313	6.892159	6.318324
TC0100006801.hg.1	6.786219	5.468238	6.825655
TC0100006805.hg.1	4.774226	5.211849	4.726565
TC0100006806.hg.1	9.206164	8.585889	9.328932
TC0100006812.hg.1	7.981421	7.208397	8.086394
