ID_REF	GSM4218504	GSM4218505	GSM4218506	GSM4218507
A01	6.0383	5.3325	4.125	5.015
A02	10.5068	11.7525	4.695	11.0
A03	2.0102	2.9025	1.75	2.985
A04	1.0093	1.2825	1.495	1.005
A05	2.0235	0.9675	1.7	2.01
A06	3.997	3.6825	0.71	4.0
A07	2.5262	1.9975	1.55	3.015
A08	1.0114	0.8475	0.99	1.515
A09	-0.9984	-0.5325	-0.415	-0.015
A10	7.004	5.7775	2.375	5.985
A11	0.0537	0.6325	0.55	1.03
A12	2.0082	1.4875	0.785	2.035
B01	1.5113	1.5625	1.28	2.015
B02	12.0031	11.9525	5.255	9.1
B03	6.0225	5.2275	4.455	5.49
B04	1.9845	1.6225	1.965	0.99
B05	1.0107	0.9475	0.835	1.015
B06	8.0031	8.9875	-0.435	8.05
B07	4.0062	3.9375	3.22	5.005
B08	6.0125	4.8875	4.235	5.505
B09	5.5142	5.8225	1.985	6.01
B10	12.0964	13.2875	3.775	12.09
B11	2.0147	1.3275	1.26	1.99
B12	-0.0067	-1.5975	-0.56	0.0
C01	2.023	1.2925	1.255	2.015
C02	8.0156	6.9575	1.925	7.53
C03	4.0154	4.0975	3.96	4.015
C04	3.0133	3.8775	3.085	3.995
C05	-0.4887	-0.9925	-0.035	0.0
C06	7.0108	6.5375	3.53	6.505
C07	4.0143	3.5925	2.625	4.01
C08	5.015	5.0625	4.33	5.0
C09	-0.0039	0.1625	0.565	0.995
C10	2.017	1.5675	1.85	1.995
C11	4.5239	3.8375	3.835	5.005
C12	4.0052	3.4875	-0.94	3.515
D01	2.0014	2.7125	1.025	2.995
D02	2.9999	1.6575	2.305	2.02
D03	0.9836	0.0525	1.055	1.005
D04	10.9974	9.7025	4.78	9.075
D05	0.978	0.8025	1.565	1.48
D06	5.5087	4.7425	4.94	6.0
D07	4.0108	3.9375	3.615	5.01
D08	5.0199	4.9425	-0.745	5.01
D09	-0.4713	0.8975	-0.29	0.015
D10	10.9975	12.0975	4.985	9.09
D11	0.511	0.7375	-2.94	0.535
D12	2.0124	2.5625	2.08	2.995
E01	3.0109	3.4225	2.275	4.01
E02	1.0023	3.2325	0.45	1.995
E03	6.5122	6.2925	5.89	6.51
E04	0.0019	-0.0125	0.61	0.51
E05	9.0216	7.2525	5.195	6.52
E06	2.0097	1.0575	1.735	3.01
E07	1.5084	1.1875	1.02	2.005
E08	1.0147	1.4625	1.025	1.005
E09	4.0124	3.0825	3.145	4.525
E10	1.0164	1.2525	0.64	2.0
E11	2.9821	3.1425	3.285	2.995
E12	2.018	2.2225	2.305	3.0
F01	3.046	2.7775	2.16	3.525
F02	2.9897	3.2775	2.62	3.5
F03	12.0519	12.9625	3.03	12.03
F04	6.0222	5.1475	2.16	6.51
F05	1.0141	1.8775	0.415	1.005
F06	2.0	1.3425	1.52	1.995
F07	2.0216	2.1475	1.605	3.015
F08	4.0205	4.2125	2.81	5.015
F09	5.0277	4.0125	-0.75	5.01
F10	11.0123	12.4775	2.285	12.01
F11	1.9666	2.2375	2.4	1.99
F12	1.0141	-0.4175	0.55	1.01
G01	4.0411	4.0025	2.985	4.52
G02	1.9858	3.0725	1.55	1.995
G03	0.0015	-0.3725	0.715	-0.005
G04	5.5125	5.0725	3.455	5.505
G05	6.0008	5.9825	1.74	6.01
G06	1.0343	1.8575	1.235	2.04
G07	-3.9993	-3.9625	-3.67	-3.0
G08	1.0074	0.6325	1.19	1.995
G09	2.0187	2.1875	1.73	2.99
G10	7.9925	6.7675	1.83	8.045
G11	2.0278	2.3675	2.14	3.025
G12	11.5331	13.2225	3.4	12.08
H01	12.0814	13.2875	4.855	12.09
H02	12.0964	13.2875	4.85	12.09
H03	0.9948	0.6375	0.875	0.995
H04	-0.9948	-0.6375	-0.875	-0.995
H05	4.0267	3.7625	3.56	5.005
H06	0.0213	-0.2275	-1.155	0.01
H07	1.0109	0.4475	0.29	1.0
H08	-1.9999	-1.3025	-2.19	-0.995
H09	1.0128	0.8975	0.215	1.005
H10	1.0146	0.9075	0.235	1.01
H11	-1.9618	-2.4225	-2.18	-1.97
H12	-1.9654	-2.2475	-1.605	-1.96
