ID_REF	GSM5101328	GSM5101329	GSM5101330	GSM5101331	GSM5101332	GSM5101333
TC0100006437.hg.1	3.99467	3.909917	4.188146	3.884859	3.909917	3.496204
TC0100006476.hg.1	5.774529	6.333525	6.277357	6.125924	6.01233	6.047116
TC0100006479.hg.1	7.08399	6.125156	7.016589	6.664499	6.668279	6.638082
TC0100006480.hg.1	5.345458	5.400471	5.71902	5.204227	5.357253	5.068775
TC0100006483.hg.1	5.295204	4.892352	4.920251	5.094978	4.347194	4.7195
TC0100006486.hg.1	7.195972	7.356525	7.626322	7.287096	7.333148	7.276987
TC0100006490.hg.1	5.960107	6.357568	6.593453	6.574344	5.802034	6.242198
TC0100006492.hg.1	5.570944	5.343298	5.603615	5.018718	5.218746	5.042852
TC0100006494.hg.1	6.455203	6.534315	6.417076	6.625875	6.709773	6.445342
TC0100006497.hg.1	4.712173	5.050717	5.002385	4.683171	4.114436	4.993973
TC0100006499.hg.1	6.788073	6.639108	6.971719	6.150877	6.545412	6.552711
TC0100006501.hg.1	6.748709	6.74095	6.639592	6.758809	6.94938	6.794505
TC0100006502.hg.1	4.23541	4.501747	4.61588	4.60408	3.858349	4.234169
TC0100006514.hg.1	4.954698	5.006333	5.336906	4.800937	4.917732	5.094396
TC0100006516.hg.1	7.56219	7.431105	7.509029	7.274669	7.502927	7.47951
TC0100006517.hg.1	4.088724	4.481691	4.161573	4.340567	3.915587	4.142609
TC0100006524.hg.1	5.669992	5.261599	5.861981	5.653091	5.129928	5.006738
TC0100006540.hg.1	4.319119	4.163864	4.151234	4.945981	4.671391	4.239823
TC0100006548.hg.1	4.436883	3.894876	4.357466	3.937425	4.491649	3.654236
TC0100006550.hg.1	8.775823	8.971534	9.043336	8.856428	8.941999	8.850782
TC0100006565.hg.1	7.237374	7.036438	7.138923	6.929492	7.001552	7.055235
TC0100006571.hg.1	5.653456	5.645199	5.645199	4.938758	5.645199	6.111216
TC0100006577.hg.1	8.087789	8.215318	8.0306	8.094034	8.280635	8.11471
TC0100006587.hg.1	7.785675	7.416852	7.612271	7.385501	7.570555	7.458299
TC0100006602.hg.1	4.545983	4.716618	4.282679	4.89266	4.816109	4.523795
TC0100006604.hg.1	4.941348	4.522489	4.518957	4.829463	4.422439	4.648405
TC0100006613.hg.1	6.976823	6.736741	6.552088	6.884245	6.535906	6.562499
TC0100006619.hg.1	8.542114	8.265349	8.312162	8.236696	8.224957	8.242528
TC0100006620.hg.1	5.716589	5.398364	5.466917	5.482166	5.069813	5.308585
TC0100006623.hg.1	3.674587	3.486027	3.727706	3.708106	3.758634	3.315708
TC0100006624.hg.1	6.450215	6.321472	6.638914	6.267375	6.226689	6.174803
TC0100006627.hg.1	6.428568	6.731673	6.650938	6.575776	6.711315	6.558959
TC0100006650.hg.1	2.817694	2.950059	3.425395	2.862894	2.908013	2.545128
TC0100006675.hg.1	7.595893	7.677138	7.709454	7.952608	7.846816	7.883846
TC0100006681.hg.1	6.670316	6.256809	6.420175	6.488129	6.553555	6.531723
TC0100006682.hg.1	6.813552	6.370368	6.397195	6.399575	6.060799	6.324818
TC0100006683.hg.1	4.83363	4.198318	4.731652	4.751814	4.479908	5.295688
TC0100006689.hg.1	8.295835	8.085649	7.973885	7.880787	7.856978	7.813496
TC0100006695.hg.1	4.348324	4.688233	4.711031	5.13345	4.859921	4.446975
TC0100006696.hg.1	4.24927	4.731218	3.637741	4.160069	4.292436	4.069172
TC0100006698.hg.1	6.749813	6.951142	6.964232	6.960221	7.045317	7.209444
TC0100006699.hg.1	4.970744	5.542606	5.236247	5.016626	5.687972	5.687826
TC0100006707.hg.1	8.515486	8.651652	8.796228	8.791117	8.989879	9.04248
TC0100006723.hg.1	8.422606	8.503124	8.351524	8.375176	8.387427	8.379357
TC0100006725.hg.1	6.299164	6.422698	6.215016	6.534657	6.341752	6.689211
TC0100006729.hg.1	10.065473	9.972753	10.06855	10.212536	10.161656	10.240769
TC0100006739.hg.1	4.894834	4.392498	4.633938	4.230809	4.318985	4.468899
TC0100006755.hg.1	8.080153	8.235472	8.112909	6.977767	7.421256	7.657352
TC0100006761.hg.1	3.407677	3.46325	3.478583	3.186662	3.397055	3.330234
TC0100006771.hg.1	6.075913	6.363363	6.131352	6.290338	6.083231	6.405151
TC0100006773.hg.1	7.803382	7.624668	7.513928	7.636477	7.63025	7.765801
TC0100006781.hg.1	7.991981	7.892664	8.13677	7.875907	8.069999	8.049253
TC0100006784.hg.1	7.922095	7.577465	7.561632	7.383615	7.281295	7.535922
TC0100006787.hg.1	6.620644	6.219258	6.529974	6.480743	6.173473	6.348831
TC0100006801.hg.1	5.986699	6.735694	6.650127	6.85617	6.815629	6.948864
TC0100006805.hg.1	4.799904	4.975797	4.726565	4.6286	4.78584	4.459706
TC0100006806.hg.1	9.18867	9.103538	9.016702	9.41009	9.126592	9.197453
TC0100006812.hg.1	7.805132	7.910879	7.91216	8.10108	8.207397	7.98997
TC0100006818.hg.1	7.750885	7.903385	8.013121	8.12628	8.161823	8.067805
TC0100006819.hg.1	6.324717	6.291047	5.733868	5.761903	5.863526	5.989585
TC0100006822.hg.1	7.236889	7.158341	7.106701	7.462987	7.439472	7.332931
TC0100006840.hg.1	8.17522	8.360752	8.41041	8.302293	8.20626	8.459111
TC0100006849.hg.1	4.746218	4.635862	4.85689	4.035128	4.417498	4.584488
TC0100006852.hg.1	10.309059	10.114141	10.102924	10.160711	10.163642	10.022544
TC0100006857.hg.1	4.777399	4.578571	4.695735	4.65265	4.985257	4.647927
TC0100006861.hg.1	6.812543	6.804236	6.572175	6.846438	6.617175	6.746469
TC0100006862.hg.1	5.873262	5.651318	5.541007	5.506484	5.215155	5.395768
TC0100006864.hg.1	5.280387	4.88219	4.772992	4.364827	4.94394	4.879473
TC0100006865.hg.1	6.99597	7.068194	7.100291	7.182396	7.325817	7.289387
TC0100006866.hg.1	5.137699	5.352551	5.711134	4.70717	5.028266	4.5042
TC0100006874.hg.1	9.404754	9.342405	9.321588	9.542597	9.502207	9.48492
TC0100006875.hg.1	7.601664	7.808658	7.886905	7.561753	7.937597	7.766388
