ID_REF	GSM4630323	GSM4630326	GSM4630332	GSM4630334
(+)E1A_r60_1	18.63750654	18.57018056	18.64997088	18.64851569
(+)E1A_r60_3	5.1122939	4.93330557	5.068139787	5.092647981
(+)E1A_r60_a104	5.084346725	4.959414266	5.279564029	5.328593031
(+)E1A_r60_a107	6.992319829	6.350748742	7.099602919	6.728150047
(+)E1A_r60_a135	9.456773431	8.513138111	9.731672339	9.450292685
(+)E1A_r60_a20	10.84891243	9.928076347	11.2999508	11.1121375
(+)E1A_r60_a22	12.02293235	10.94466333	12.47995348	12.19935206
(+)E1A_r60_a97	14.5515793	13.56925468	14.66614419	14.46234449
(+)E1A_r60_n11	16.47808058	15.47895571	16.69135279	16.43418627
(+)E1A_r60_n9	16.83518616	16.22754158	17.52775476	17.40330741
(-)3xSLv1	4.733931949	4.763493948	4.681681447	4.721810094
A_23_P100001	7.790017819	7.707727914	7.728709172	7.596432781
A_23_P100022	4.98257982	4.828204952	4.955712584	5.029346785
A_23_P100056	10.09439567	10.17465434	10.4111924	10.47314689
A_23_P100074	10.9991651	11.04996737	10.77606629	10.70666652
A_23_P100127	10.8902867	10.64164633	10.58943471	10.46263875
A_23_P100141	10.59043665	10.56171922	10.51623475	10.34041276
A_23_P100189	5.707041584	5.809917136	5.912593099	5.85224685
A_23_P100196	11.82537376	11.95139836	11.76697124	11.86832081
A_23_P100203	11.96525287	11.95724744	12.13803746	12.0536592
A_23_P100220	11.87941721	11.81291548	12.07093701	12.0080104
A_23_P100240	5.281980017	5.507507071	5.594675879	5.712850646
A_23_P10025	6.777468975	6.838515088	6.611424926	6.60562366
A_23_P100292	13.73611278	13.67734675	13.80914768	13.69708228
A_23_P100315	12.852544	12.60942677	13.04747743	13.05689721
A_23_P100326	12.901698	12.77634549	12.44195837	12.60175901
A_23_P100344	11.52653422	11.74587078	11.21784701	11.28293256
A_23_P100355	11.96874602	12.19821202	11.98561638	12.23139349
A_23_P100386	5.064123799	5.190027642	5.408593391	5.240687381
A_23_P100392	10.84796372	10.84289971	10.65514989	10.78162549
A_23_P100420	11.54091285	11.56623645	11.45917649	11.36559324
A_23_P100441	9.828955082	9.674111417	9.929353295	9.853293128
A_23_P100455	8.612291517	8.49803626	8.62608451	8.576079467
A_23_P100486	13.13123255	13.25834386	13.29525943	13.30610788
A_23_P100499	7.305219057	7.361133165	7.198765205	7.181062103
A_23_P100501	10.92986811	10.85096107	10.98909235	11.01143933
A_23_P100517	9.47089296	9.364291385	9.249857022	9.156676282
A_23_P100539	11.01332078	10.90478522	10.84622036	10.94513914
A_23_P100583	5.414730832	5.286607592	5.449537103	5.523277513
A_23_P100602	9.396857066	9.44533755	9.623071418	9.601176626
A_23_P10062	5.63981564	6.036800334	5.700053456	5.612460044
A_23_P100632	16.82567931	16.94003685	16.5459146	16.42929549
A_23_P100642	6.364705458	6.444864673	6.16890804	6.272071692
A_23_P100654	9.520543977	9.454395413	9.827475626	9.735536002
A_23_P100660	13.72603976	13.74851951	13.89064738	13.92416989
A_23_P100676	8.797361927	8.982730097	9.027880933	9.206992183
A_23_P100704	11.07470685	11.16482268	10.78842207	10.82720316
A_23_P100711	10.56775312	10.63838916	10.75046079	10.70969005
A_23_P100730	5.116141179	5.156775086	4.940168271	4.942790106
A_23_P100764	13.02418941	12.95960039	12.87927837	12.99612612
A_23_P10077	8.486128138	8.577315894	8.847028935	9.044483187
A_23_P100795	7.248534798	7.377740707	7.468034273	7.478112721
A_23_P10081	7.271847578	7.722126538	6.98484645	6.840695246
A_23_P100868	11.35217138	11.32867965	11.00342106	10.97021323
A_23_P100883	12.67563987	12.753616	12.85156315	12.70437325
A_23_P100912	7.112779334	7.323348433	6.84720477	7.018562943
A_23_P100963	5.882421285	6.214142907	6.130812798	6.272071692
A_23_P100991	4.449831177	4.536026072	4.726148872	4.79045637
A_23_P101013	11.80633948	11.82644467	12.13798691	12.2435363
A_23_P101038	4.632003659	4.738198063	4.950010184	5.076855983
A_23_P101048	4.695303367	4.842941875	4.830319466	4.8862704
A_23_P101054	4.778897483	5.023087681	4.991883987	4.998983841
A_23_P101073	5.033023462	5.010821521	5.449537103	5.514099051
A_23_P101084	5.013828926	5.000464087	5.170883472	5.167377761
A_23_P101093	6.43515176	6.577883809	6.867222072	6.730693604
A_23_P101111	10.02987859	10.34490996	10.16714539	10.42284367
A_23_P101131	5.206740811	5.183819186	5.306225433	5.192706885
A_23_P101185	12.69166316	12.79517049	12.9868661	12.93542181
A_23_P101208	13.04924214	13.13206323	13.04838151	12.87474117
A_23_P10121	4.919202696	4.918507407	5.249550646	5.299067586
A_23_P101237	11.2004697	11.28385722	10.89108969	10.86260393
A_23_P101246	7.304516891	7.333912526	7.204383411	7.242262472
A_23_P101281	11.34256316	11.16668291	11.23453936	11.27019407
A_23_P101297	7.41090439	7.264357504	7.578618735	7.625642598
A_23_P101319	7.880903424	8.05255269	7.767670396	7.6963616
A_23_P101332	12.17623526	12.09900231	12.23668422	12.34809165
A_23_P101342	7.225104347	7.367795445	7.160327972	7.19636347
A_23_P10135	10.74996655	10.64786245	10.21192795	10.4279362
A_23_P101351	8.782695651	8.799745589	8.507370116	8.518973945
A_23_P101374	5.47470107	5.347884682	5.383448529	5.291373825
A_23_P101380	9.382260081	9.003867878	9.782412388	9.753662136
A_23_P101392	7.3302485	7.36576365	7.649079201	7.603645732
A_23_P1014	11.2196376	11.27776117	11.30057792	11.13718607
A_23_P101407	12.60397189	12.36758291	13.19033773	13.15327349
A_23_P101434	4.811374783	4.758537044	4.896658564	5.034542266
A_23_P101461	12.0254594	11.70532594	12.12526653	12.1444321
A_23_P101476	7.541606027	7.603437765	7.74271028	7.685171319
A_23_P101480	6.631348274	6.692779582	7.357105622	7.283390275
A_23_P101505	4.777446584	4.634889656	4.934457191	4.922720106
A_23_P101516	6.747511801	6.697999846	6.964717429	7.042016065
A_23_P101521	4.959413749	4.930697999	5.098880126	5.055696901
A_23_P101532	17.67073714	17.82668885	17.73299484	17.6919087
A_23_P101551	11.3366061	11.59287127	11.41633094	11.6222479
A_23_P10156	9.150729151	9.449903709	9.204905529	9.463505842
A_23_P101564	4.95958153	5.045818543	4.936210672	5.352826714
A_23_P101615	8.364085254	8.399106391	8.11359986	8.098154334
A_23_P101623	5.398440888	5.472131776	5.594348974	5.634255411
A_23_P101642	8.708837073	8.624610022	8.939307686	8.858082348
A_23_P101655	12.24461583	12.32261593	12.31246872	12.48328947
A_23_P101671	4.725462674	4.711930498	4.756189454	4.773839991
A_23_P101683	4.991468581	4.927644979	4.873563581	4.855242501
A_23_P101699	9.314279451	9.502150759	9.34210082	9.503559295
