ID_REF	GSM4218508	GSM4218509	GSM4218510	GSM4218511	GSM4218512
A01	4.5275	6.05	3.1125	6.025	4.2843
A02	7.0025	9.99	11.3125	9.995	9.9143
A03	1.5225	1.99	1.4025	0.995	0.9337
A04	1.5075	1.02	1.5375	1.995	1.6144
A05	2.5225	2.03	0.7225	4.015	1.6123
A06	2.5175	4.03	3.2875	3.995	3.7334
A07	2.5275	3.03	1.6075	4.015	2.2557
A08	1.0075	1.03	0.4225	2.005	0.9453
A09	0.0175	-0.99	-0.3775	-0.975	-0.7061
A10	3.9975	7.05	4.4275	8.025	6.5646
A11	0.5125	0.05	0.3125	0.005	0.3028
A12	1.5425	2.02	1.6325	2.025	1.7446
B01	2.0275	2.05	1.5125	3.025	1.8739
B02	7.5175	10.02	8.4025	11.045	8.2319
B03	5.5275	5.02	4.8075	5.995	5.2248
B04	1.0125	1.01	-0.2625	1.015	0.1533
B05	1.0225	1.02	0.4625	1.005	0.7732
B06	2.0175	8.02	6.6325	7.015	6.2816
B07	3.4925	4.0	3.3875	4.015	3.2358
B08	5.5225	6.04	4.4175	6.995	4.9559
B09	3.5025	6.03	4.1075	6.015	4.8451
B10	6.5025	11.11	13.2175	13.095	13.104
B11	1.5225	3.0	-3.2125	2.995	1.9264
B12	-0.9725	-0.97	-2.3575	-1.955	-1.8548
C01	1.5325	2.03	0.7325	3.005	1.4326
C02	3.5025	6.02	6.2675	6.005	4.1832
C03	4.5075	4.03	3.4675	4.025	3.8936
C04	2.4925	3.01	2.1025	2.985	3.1162
C05	0.5075	0.0	-0.8125	2.015	0.0658
C06	5.5275	9.01	5.3075	9.005	6.9841
C07	3.5175	5.03	3.1775	6.005	4.6723
C08	4.5125	5.02	3.5725	5.005	4.3653
C09	0.5125	0.0	0.2125	0.985	0.0657
C10	2.5225	2.04	1.7575	3.015	1.9623
C11	4.5175	5.02	4.3225	6.015	4.5947
C12	1.5125	3.05	3.1225	4.985	3.7658
D01	1.5275	1.02	1.5775	1.015	0.9843
D02	2.5125	2.02	0.8425	1.985	1.3524
D03	1.0125	0.02	-0.2425	0.985	-0.0479
D04	6.4925	9.01	9.1425	8.995	5.3642
D05	1.9975	1.0	0.6775	2.985	1.5962
D06	6.0175	5.02	4.5325	6.995	5.7342
D07	4.0125	4.03	3.6025	4.025	3.433
D08	1.0225	5.02	5.0325	6.015	5.1434
D09	0.0025	0.05	0.1475	0.005	0.3134
D10	6.0125	11.01	10.4825	13.005	11.7538
D11	-2.4875	1.0	0.9075	2.015	2.1037
D12	2.0225	2.0	1.2125	1.005	1.2424
E01	3.5025	4.03	3.4475	4.025	3.856
E02	0.4925	2.02	1.9725	1.995	2.0523
E03	6.5025	7.02	4.7425	6.995	5.8721
E04	1.0175	0.02	-0.1325	1.035	-0.0665
E05	7.0175	6.03	5.9075	8.015	6.1552
E06	2.5275	2.02	0.5725	1.005	0.8222
E07	1.5225	2.02	0.5925	3.015	1.5745
E08	1.5175	1.02	1.3725	2.015	1.2316
E09	4.5175	4.03	3.3425	5.005	3.8532
E10	1.0075	1.01	0.3875	1.025	0.3738
E11	3.0025	2.02	1.4675	1.995	0.7029
E12	2.5075	2.05	2.2725	4.025	2.8855
F01	2.5125	3.05	2.3825	4.035	2.8539
F02	3.4875	3.0	2.5025	3.005	2.6027
F03	5.0275	11.11	12.0575	13.045	13.104
F04	3.5125	5.04	3.7475	5.015	4.2047
F05	1.5125	1.01	1.0725	1.995	1.2216
F06	2.0025	2.02	1.2625	4.015	2.0931
F07	2.5175	2.04	2.3925	4.005	3.0831
F08	4.0125	4.05	3.7925	5.995	4.3254
F09	1.0275	5.03	4.0725	6.025	4.1017
F10	4.5125	11.11	11.0375	13.025	11.785
F11	2.0225	1.02	0.9675	0.975	1.232
F12	0.5225	2.03	-1.0375	3.005	0.3817
G01	3.4975	4.03	2.6925	3.975	3.6136
G02	1.5175	1.99	2.6125	2.975	2.9216
G03	0.5125	0.01	-0.8925	-0.005	-0.8943
G04	4.5175	5.01	4.3825	5.995	4.7551
G05	2.9925	7.01	6.0875	6.985	6.2553
G06	0.4975	0.06	1.4425	1.055	1.5059
G07	-2.9925	-4.0	-3.0525	-1.005	-2.3371
G08	2.0125	1.02	1.0975	2.985	1.9817
G09	2.5125	2.03	1.7325	4.005	2.7227
G10	4.0075	8.01	7.2275	7.995	7.523
G11	2.5225	2.05	1.9175	2.005	1.5436
G12	6.0075	11.11	13.1625	13.095	13.104
H01	7.0075	11.11	13.2175	13.095	13.104
H02	7.0125	11.11	13.2175	13.095	13.104
H03	0.4975	0.99	0.5325	0.985	0.6745
H04	-0.4975	-0.99	-0.5325	-0.985	-0.6745
H05	3.5025	5.01	3.3675	6.005	4.7849
H06	-0.4925	0.02	-0.4025	1.025	0.4946
H07	0.5175	1.05	0.3175	2.015	1.1744
H08	-1.4775	-0.97	-1.9875	-0.995	-1.2056
H09	0.5175	1.04	1.3175	3.025	1.4529
H10	0.5175	1.03	1.3325	3.005	1.522
H11	-1.9675	-1.93	-1.5375	-0.975	-1.4158
H12	-1.9725	-1.95	-1.2675	-0.985	-1.4368
