ID_REF	GSM5501341	GSM5501342	GSM5501343	GSM5501344	GSM5501345	GSM5501346	GSM5501347	GSM5501348	GSM5501349	GSM5501350	GSM5501351	GSM5501352	GSM5501353	GSM5501354	GSM5501355	GSM5501356	GSM5501357	GSM5501358	GSM5501359	GSM5501360	GSM5501361	GSM5501362	GSM5501363	GSM5501364
A01	4.0	10.02	7.99	7.03	5.99	6.99	3.97	9.03	6.98	5.0	4.99	4.98	8.03	8.0	9.98	8.02	7.03	6.98	0.02	9.0	6.98	8.0	9.0	9.0
A02	4.99	9.0	6.98	6.01	6.97	7.98	5.95	7.98	7.96	5.21	5.03	5.97	7.99	7.99	9.97	6.97	5.97	7.98	6.98	7.98	8.97	6.96	9.99	9.98
A03	7.01	9.98	10.99	6.01	9.98	8.99	7.96	9.99	10.97	6.98	5.32	7.97	9.07	11.01	10.97	7.98	7.99	10.98	7.98	9.08	9.97	7.97	10.99	11.99
A04	7.0	7.94	11.1	7.98	8.99	10.99	7.95	8.98	11.98	9.07	8.15	11.0	9.11	10.98	13.04	9.17	8.14	9.98	10.98	11.07	10.97	9.98	12.15	13.0
A05	12.0	10.21	11.22	7.05	13.0	12.99	11.97	7.21	11.99	7.07	7.98	12.99	11.07	11.08	12.99	9.17	8.15	14.0	9.07	9.1	8.17	7.98	8.07	14.01
A06	4.0	7.0	5.01	3.0	5.0	5.0	2.97	6.0	4.99	4.01	3.01	2.99	4.0	4.01	7.99	3.0	3.02	6.0	6.98	4.0	5.98	2.98	6.0	8.0
A07	6.01	5.0	4.99	4.0	5.99	5.0	4.97	5.0	4.99	3.99	3.99	3.98	3.99	5.0	5.99	3.99	3.99	7.0	0.08	4.99	5.97	4.98	6.01	7.0
A08	4.99	10.15	8.98	7.25	6.99	7.98	5.95	9.99	7.98	5.24	5.25	5.96	9.05	11.0	7.97	9.2	8.21	6.97	0.08	9.0	6.97	8.24	10.98	8.98
A09	5.98	9.98	7.98	5.98	5.98	6.98	5.94	8.98	7.96	8.98	6.98	5.97	6.98	6.99	8.98	5.97	5.98	7.97	6.98	9.04	7.96	4.97	8.98	8.99
A10	12.98	11.98	13.48	10.21	14.18	11.98	12.96	10.23	13.17	9.21	10.98	14.0	12.98	11.11	12.99	9.13	11.0	14.97	9.21	9.98	13.16	8.98	12.02	15.07
A11	4.98	6.97	7.98	5.99	6.98	4.98	3.94	5.98	5.97	5.06	5.02	3.96	5.98	5.98	7.96	2.97	4.97	4.97	4.98	6.98	6.96	5.95	7.98	6.98
A12	4.98	0.98	5.99	1.99	5.99	3.98	3.95	0.98	4.97	3.97	-0.03	4.97	5.0	1.98	5.97	-2.02	1.97	3.98	0.18	0.98	4.97	1.97	2.98	4.98
B01	7.02	6.0	7.02	5.01	8.01	7.02	5.97	5.01	7.01	5.0	3.0	5.99	5.01	6.02	9.99	2.01	4.01	8.02	5.98	6.02	8.01	3.99	7.0	10.02
B02	8.0	10.08	10.99	9.98	8.0	9.99	7.98	10.14	9.99	8.07	8.03	8.98	9.16	11.01	10.99	9.08	8.17	9.0	7.98	9.17	9.99	8.15	11.99	11.01
B03	8.01	9.01	7.0	7.04	9.01	10.01	7.98	8.0	10.01	7.98	9.98	9.0	8.01	9.0	10.99	7.02	7.0	10.0	8.07	8.0	8.99	6.99	9.0	11.03
B04	6.0	10.79	5.99	7.01	8.02	9.01	6.99	10.0	7.98	5.09	5.23	5.99	6.99	5.99	9.0	7.02	6.0	8.02	0.17	7.0	9.01	5.97	10.01	11.0
B05	5.99	9.99	8.0	5.99	7.98	7.98	6.95	7.99	8.99	5.09	5.05	5.98	6.99	7.99	10.98	6.98	5.99	8.98	6.98	8.98	8.97	5.97	8.98	9.99
B06	6.02	9.01	8.02	5.0	7.01	8.02	5.97	10.06	8.0	6.48	5.0	5.99	6.0	7.01	10.0	8.01	7.0	8.0	0.04	8.0	9.01	6.0	9.01	10.01
B07	10.99	10.2	8.98	11.98	14.01	10.98	11.94	10.98	12.95	11.08	12.98	11.95	11.98	10.98	13.1	10.98	8.98	12.98	7.98	6.98	7.98	5.98	6.98	15.02
B08	5.98	7.98	8.98	6.99	6.98	6.99	4.95	8.99	6.97	5.98	5.99	5.96	7.99	7.98	8.97	7.97	5.98	7.97	6.98	8.01	7.96	5.97	8.98	9.98
B09	11.97	10.98	11.18	10.98	10.98	11.3	10.94	11.98	13.06	10.23	10.21	11.0	10.98	9.98	10.96	11.07	10.07	10.96	9.98	9.98	10.96	7.98	7.98	12.97
B10	2.01	3.99	3.0	3.0	3.02	3.0	1.97	3.0	2.99	3.99	2.01	1.99	3.02	4.0	5.99	2.0	1.99	2.99	5.98	3.99	2.98	1.99	4.0	5.02
B11	12.99	11.94	12.89	10.23	11.98	14.13	12.94	12.96	13.09	10.98	12.07	13.97	10.98	7.98	9.98	8.98	6.98	14.97	10.98	7.98	5.98	4.98	4.96	5.96
B12	8.99	10.16	10.98	7.03	11.0	10.99	8.95	7.07	11.97	7.89	8.89	9.97	9.07	11.14	13.0	9.01	7.98	10.98	9.07	9.01	10.97	11.07	11.98	11.99
C01	5.99	8.99	8.99	7.03	7.99	8.99	6.95	7.99	7.98	6.98	7.98	6.98	9.0	10.99	6.98	8.98	8.02	7.99	7.98	9.03	7.98	5.98	8.99	9.0
C02	15.11	13.98	11.21	10.21	13.21	14.15	11.98	11.21	10.98	12.98	10.21	14.17	9.98	12.14	13.17	9.07	8.16	15.15	9.21	9.21	13.14	10.21	8.98	9.21
