ID_REF	GSM5501317	GSM5501318	GSM5501319	GSM5501320	GSM5501321	GSM5501322	GSM5501323	GSM5501324	GSM5501325	GSM5501326	GSM5501327	GSM5501328	GSM5501329	GSM5501330	GSM5501331	GSM5501332	GSM5501333	GSM5501334	GSM5501335	GSM5501336	GSM5501337	GSM5501338	GSM5501339	GSM5501340
A01	6.98	6.99	9.03	10.04	7.0	7.0	10.05	3.98	8.0	3.99	8.02	3.99	5.0	12.01	7.0	11.03	10.99	13.02	7.97	6.98	12.03	10.99	4.97	10.0
A02	2.97	1.97	5.99	6.99	3.96	4.98	6.99	2.95	5.98	3.97	5.97	4.97	5.98	9.97	5.98	8.98	10.98	11.97	7.96	5.96	10.97	9.98	3.96	8.97
A03	9.02	4.98	7.0	8.0	5.97	8.0	9.01	3.97	8.01	6.99	6.99	6.0	7.0	11.98	9.0	8.0	10.0	11.99	8.97	8.99	9.99	7.99	6.99	9.0
A04	12.97	8.97	10.98	9.99	9.94	10.99	11.99	9.99	11.98	9.97	10.13	6.98	12.02	13.02	7.99	7.98	13.0	14.0	12.0	6.97	13.01	11.21	5.97	10.98
A05	6.02	12.14	9.03	12.18	8.01	12.03	10.01	7.98	7.01	8.02	10.21	10.0	9.04	10.99	13.02	9.93	14.11	9.98	11.9	14.03	13.0	9.98	11.99	12.0
A06	3.0	2.0	4.03	4.01	2.99	4.01	4.0	-1.03	4.01	4.0	2.0	4.0	5.0	8.0	2.01	7.01	6.98	10.02	8.98	1.98	7.01	7.02	0.98	5.01
A07	2.98	5.98	3.0	8.01	3.97	5.0	2.99	2.98	4.99	6.99	3.99	4.98	10.0	9.99	2.0	7.99	6.98	4.99	2.97	0.97	4.99	3.0	1.97	4.99
A08	9.98	6.99	8.98	9.98	7.95	8.99	10.97	5.95	8.97	6.98	8.95	4.96	7.0	10.98	9.98	10.98	11.97	13.97	10.97	10.95	10.99	11.01	6.96	8.98
A09	1.97	1.97	3.99	5.98	3.96	3.98	4.97	6.96	4.97	2.98	5.97	4.96	4.99	8.98	3.98	6.98	8.98	9.98	6.95	3.96	8.98	8.98	1.96	6.97
A10	3.98	1.97	6.0	7.0	4.97	7.99	8.0	5.96	7.99	6.98	7.97	8.97	11.01	7.98	5.99	8.98	10.98	11.97	6.96	4.97	13.97	9.98	11.96	7.97
A11	1.96	0.96	1.98	3.97	-0.05	3.97	4.98	-2.05	2.97	2.98	-0.04	4.96	7.97	4.97	4.98	10.97	6.97	9.98	6.96	5.94	6.97	6.98	3.96	6.97
A12	-0.03	-0.03	0.99	1.99	0.96	1.99	1.98	-4.04	0.97	1.97	-3.02	4.97	4.99	0.98	4.99	9.99	3.97	6.98	4.96	4.96	3.99	3.99	3.97	4.97
B01	3.01	3.01	3.01	4.03	2.98	4.01	4.02	-1.02	4.02	5.02	0.99	7.0	8.03	5.01	7.03	10.02	8.02	12.0	4.98	5.99	9.01	8.03	6.0	8.01
B02	5.99	4.99	9.01	10.0	6.98	8.01	10.0	4.98	6.99	5.99	8.99	6.99	7.0	7.99	8.01	10.0	10.98	11.99	7.97	6.98	9.99	10.01	3.98	7.98
B03	11.01	7.0	6.02	9.02	8.99	9.01	10.01	6.98	5.99	9.0	9.0	7.0	8.01	9.0	13.01	12.01	13.0	10.98	11.99	8.99	14.06	10.0	10.01	12.0
B04	0.01	1.0	2.01	5.04	1.99	4.03	3.0	3.01	2.99	2.01	3.01	6.02	3.01	6.98	3.01	8.02	8.99	10.0	6.99	4.02	9.02	8.0	3.01	8.02
B05	4.97	4.98	7.99	10.0	4.96	5.99	5.98	4.97	6.98	4.98	7.97	4.97	5.0	11.98	6.99	7.98	11.98	12.98	11.99	7.97	10.98	11.07	5.97	8.97
B06	3.0	2.0	6.04	5.01	3.99	5.02	6.01	5.98	6.01	4.0	6.0	5.01	5.01	9.99	3.01	11.0	9.01	9.0	9.99	4.01	9.02	9.01	2.99	8.01
B07	12.99	11.93	11.17	12.22	11.93	11.96	11.99	10.21	11.99	13.02	10.2	9.94	12.22	8.94	12.96	11.43	10.89	8.94	7.9	13.98	6.05	7.98	15.03	8.94
B08	2.96	1.96	4.98	5.98	3.96	4.99	5.97	4.97	4.98	2.97	7.97	4.96	3.97	9.97	5.97	7.98	9.97	10.97	7.95	4.96	9.97	9.97	2.96	7.96
B09	14.18	12.21	11.06	11.99	10.94	9.97	11.96	7.43	12.96	7.97	8.43	8.95	11.98	13.23	14.97	7.98	7.98	12.23	11.21	11.21	14.14	11.23	14.95	12.23
B10	-0.01	0.0	2.01	3.01	1.98	4.03	4.01	-3.01	3.99	1.99	2.99	3.0	7.01	1.99	5.01	7.0	5.99	12.99	5.97	4.99	8.01	7.01	3.98	7.0
B11	12.97	12.14	11.1	12.06	12.08	12.01	12.2	7.96	12.97	13.01	10.22	10.19	10.14	13.07	11.99	10.17	13.98	11.96	10.96	12.97	11.0	10.17	11.96	11.99
B12	12.97	8.98	11.16	11.0	5.96	10.99	11.98	3.96	6.98	9.98	10.05	8.99	11.0	10.99	13.99	12.18	14.04	10.17	5.97	14.04	14.13	8.98	11.96	11.97
C01	9.97	6.97	10.0	10.99	6.96	8.99	10.99	4.97	8.98	6.99	7.97	6.98	8.99	9.99	9.99	7.99	8.98	8.98	7.97	10.97	7.98	8.99	6.98	6.97
C02	12.98	7.98	9.99	12.23	12.05	13.19	12.18	10.09	10.97	12.99	10.14	10.24	12.03	10.21	15.19	12.19	12.1	12.14	11.19	14.06	10.21	10.2	13.45	10.12
C03	1.98	1.97	4.0	6.01	3.96	4.99	4.99	4.97	5.97	4.98	5.99	7.0	7.0	8.97	4.99	6.01	8.99	7.99	4.97	3.97	7.98	6.99	2.98	6.99
C04	8.98	4.98	10.0	9.99	4.96	6.99	10.99	2.96	7.99	4.98	7.99	5.97	6.01	10.99	7.99	9.98	9.97	12.98	7.97	9.98	9.98	11.19	4.96	6.97
C05	10.96	8.96	5.0	4.98	6.95	7.98	4.98	7.95	7.97	6.97	6.96	4.97	10.0	7.98	8.98	7.89	10.98	6.49	11.96	8.97	13.97	8.98	10.96	12.97
C06	1.97	2.97	6.0	7.0	3.96	6.0	5.99	2.96	7.0	4.99	4.97	4.99	6.0	7.98	4.99	6.0	7.97	6.98	5.97	4.99	7.98	6.99	2.97	5.98
C07	6.96	4.96	6.98	6.98	5.95	5.98	8.98	1.96	6.97	5.97	5.96	4.96	9.0	10.97	7.98	8.49	11.97	13.97	11.94	8.95	10.98	6.93	6.97	9.97
C08	5.99	3.98	5.0	7.0	4.97	5.99	5.99	2.96	4.99	5.99	6.0	5.98	6.0	5.98	6.0	7.98	8.99	8.99	6.98	4.97	9.01	6.98	4.97	6.98
C09	1.99	1.98	3.0	4.99	2.97	3.99	3.99	0.97	2.99	3.99	3.98	5.98	6.0	4.99	3.0	6.99	6.98	7.99	4.97	2.97	6.99	5.99	1.97	4.98
C10	2.99	2.98	5.02	5.0	2.99	4.01	4.01	1.99	3.0	3.99	3.0	5.0	4.01	8.99	1.0	7.03	5.0	5.99	9.98	-0.02	6.02	4.02	-0.01	4.99
C11	14.16	12.1	5.98	7.99	4.94	7.98	8.97	10.21	8.97	6.98	8.97	10.04	7.97	6.32	10.98	12.21	12.98	6.45	7.98	14.21	14.01	11.34	14.95	13.05
C12	2.97	2.96	2.98	5.99	3.95	3.99	2.99	4.96	3.98	0.97	9.96	3.97	1.98	7.98	8.98	4.98	11.99	5.98	6.95	9.95	9.99	11.09	6.97	10.96
D01	10.99	4.0	6.01	8.01	5.98	6.01	8.0	5.0	7.99	3.0	7.0	3.0	7.04	9.98	10.0	11.01	12.99	10.0	7.0	12.98	12.0	7.98	9.98	10.99
D02	-1.01	-0.01	2.0	4.01	-0.03	3.0	2.0	0.97	3.98	1.99	2.99	5.97	4.99	7.98	3.01	4.98	7.98	8.97	8.97	0.97	7.99	6.99	1.98	4.98
D03	6.97	5.97	7.01	6.98	4.95	6.99	7.98	2.96	5.97	5.98	3.97	6.97	7.98	10.98	8.99	12.0	9.97	8.89	9.96	9.96	11.99	11.15	5.96	10.98
