ID_REF	GSM5226511	GSM5226512	GSM5226513	GSM5226514	GSM5226515	GSM5226516
-1	1.26551982	0.177713037	0.805102764	0.835164835	1.235993209	0.53809197
10138			0.001417434			
10306	0.052356021	0.01019665	0.01275691	0.018838305		
105441						
10899	0.098728497		0.048192771			
10901						
10902						
10903						
10904	0.065818998	0.145666424	0.194188519	0.144427002	0.249575552	0.253946465
10905						
10906	0.007479432					
10907	0.02842184		0.002834869			
10916	0.019446522					
10919	0.462228871	0.148579752	0.226789511	0.394034537	0.190152801	0.196293754
10923	0.282722513	0.128186453	0.14032601	0.398744113	0.025466893	0.08785175
10925	0.086761406	0.042243263	0.048192771	0.04866562		
10928	0.186985789	0.466132556	0.17859674	0.166405024	0.037351443	0.078242965
10936	0.3934181	0.091769847	0.099220411	0.047095761	0.025466893	0.013726836
10937						
10942	0.128646223	0.174799709	0.026931254	0.244897959	0.190152801	0.094715168
10943	0.118175019	0.179169701	0.043940468	0.196232339	0.246179966	0.037062457
10944	0.001495886			0.004709576		0.001372684
10946	0.001495886					
10947	0.127150337	0.110706482	0.031183558	0.182103611	0.003395586	0.028826356
10952						
10954	0.136125654	0.164603059	0.049610206	0.262166405	0.273344652	0.064516129
10955	0.055347794					
10964	1.0710546	0.247632921	0.266477675	0.733124019	0.069609508	0.098833219
10967	0.005983545					
10972						
10975						
10976	0.050860135					
10977	0.007479432					
10985	0.155572177					
10986	0.053851907	0.036416606	0.017009213	0.010989011	0.01188455	0.021962938
10987						
10988	0.022438295					
10990	0.074794316	0.091769847	0.011339476	0.130298273	0.033955857	0.024708305
10991	0.032909499			0.043956044	0.0237691	
10995						
10997	0.08526552					
10998	0.115183246					0.004118051
1100	0.776364996		0.005669738	0.21978022		
11000						
11004	0.032909499					
11005	0.089753179	0.139839767	0.046775337	0.138147567	0.181663837	0.052161977
11007	0.05684368	0.013109978	0.01275691	0.014128728	0.056027165	0.035689774
11011	0.155572177	0.195193008	0.05102764	0.1711146	0.376910017	0.097460535
11013						
11014						
11015	0.016454749					
11018				0.01255887		
11020	1.657442034	0.112163146	2.741318214	4.579277865	4.653650255	1.66781057
11021	0.032909499					
11022	0.032909499					
11023	0.004487659					
11024	0.18249813	0.252002913	0.073706591	0.354788069	0.431239389	0.166094715
11030	0.034405385			0.065934066		0.026080988
11037	0.128646223		0.110559887	0.007849294		0.01921757
11038	0.303664921	0.269482884	0.069454288	0.282574568	0.544991511	0.135895676
11039	0.064323111					
11040	0.02842184		0.002834869	0.003139717		
11041						
11043	0.026925954					
11044	0.032909499	0.09613984		0.039246468	0.016977929	0.054907344
11045	1.160807779	2.597232338	1.080085046	1.996860283	2.05942275	1.486616335
11052	0.02842184					
11053	0.058339566	0.061179898		0.089481947	0.078098472	0.021962938
11058	0.059835453	0.026219956	0.011339476			0.009608785
11061						
11063			0.001417434			
11065	0.023934181					
11066	0.019446522					
11073						
11074	0.1421092	0.080116533	0.022678951	0.233908948	0.174872666	0.059025395
11077	0.035901272					
11078	0.065818998	0.062636562	0.029766123	0.03610675	0.040747029	0.046671242
11083	0.029917726					
11084	0.037397158				0.015280136	
11085	0.050860135		0.002834869			
11091						
11092	0.001495886					
11093						
11102	0.029917726	0.001456664		0.03610675		
11104	0.043380703	0.016023307	0.094968108			
11105						
11108	0.351533283	0.48798252	0.245216159	0.456828885	0.033955857	0.061770762
11111	0.008975318	0.020393299	0.014174344	0.021978022	0.032258065	
11113	0.04038893					
11121	0.221391174	0.240349599	0.337349398	0.356357928	0.220713073	0.560054907
11125	0.038893044	0.052439913	0.007087172	0.003139717	0.091680815	
11134	0.121166791	0.231609614	0.068036853	0.160125589	0.169779287	0.063143445
11138	0.010471204					
11139	0.079281975	0.043699927	0.022678951	0.009419152	0.086587436	0.039807824
11140	0.044876589	0.177713037	0.034018427	0.14599686	0.288624788	0.050789293
11141	0.091249065	0.059723234	0.039688164	0.105180534	0.112054329	0.067261496
11142	0.297681376	0.055353241	0.180014174			0.057652711
11144	0.019446522					
11148			0.002834869			
11149						
11151	0.390426328	0.436999272	0.6378455	0.32967033	0.292020374	0.253946465
11154	0.035901272		0.002834869			
11155						
11159						
11164	0.001495886	0.080116533	0.058114812	0.04866562		
11165	0.101720269		0.004252303			0.010981469
11166	0.05684368	0.093226511	0.180014174	0.017268446		0.010981469
11168	0.022438295	0.004369993	0.002834869			
11171	0.010471204					
11175	1.759162304	3.153678077	3.661233168	3.03610675	3.899830221	3.188743995
11177	3.386686612	10.11216315	4.731396173	5.723704867	9.606112054	4.996568291
11181	0.064323111	0.167516387	0.041105599	0.180533752	0.20713073	0.065888813
11182	0.115183246	0.208302986	0.048192771	0.252747253	0.293718166	0.093342485
11184	0.083769634		0.034018427			
11202	0.100224383					
11205	0.020942408					
11207	0.047868362					
11208	1.032161556	0.9002185	0.182849043	1.419152276	0.943972835	0.307481126
11210	0.017950636					
11215	0.116679132	0.136926438	0.053862509	0.136577708	0.346349745	0.078242965
11217						
11218	0.053851907	0.016023307	0.001417434	0.075353218	0.151103565	0.020590254
11221						
11225						
11226	0.079281975		0.011339476			
11227	0.192969334	0.294246176	0.10205528	0.411302983	0.497453311	0.167467399
11229	6.043380703	1.583394028	7.220411056	4.406593407	6.543293718	5.118737131
11230	0.098728497					
11231	0.09723261	0.055353241	0.073706591			0.028826356
11234	0.025430067				0.027164686	
11235	1.820493642	3.128914785	1.865343728	3.265306122	3.764006791	2.492793411
11238	0.034405385				0.03565365	
11240			0.011339476			
11245	4.044876589	6.524399126	5.766123317	10.51805338	6.743633277	5.726835964
11246						
11247						
11249	0.122662678	0.26802622	0.03827073	0.252747253	0.407470289	0.083733699
11250	0.013462977					
11251	0.11368736	0.128186453	0.032600992	0.076923077	0.093378608	0.041180508
11253						
11254						
11255	0.09723261	0.007283321	0.01275691	0.089481947	0.069609508	0.042553191
11256	0.077786088	0.084486526	0.035435861			0.002745367
11260	0.046372476	0.023306628	0.032600992	0.032967033	0.186757216	0.016472203
11262	0.121166791	0.253459578	0.259390503	0.188383046	0.185059423	0.262182567
11266	0.043380703					
11268	0.257292446	0.088856519	0.046775337	0.114599686	0.03565365	0.039807824
11271	0.152580404	0.093226511	0.109142452	0.059654631	0.203735144	0.054907344
11273						
11274	0.061331339					
11277	0.013462977					
11278	0.682124159		0.007087172			
11279	1.112939417	2.508375819	3.142452162	3.510204082	1.696095076	3.033630748
13130	0.007479432					
13132	0.91697831	2.780772032	2.345854004	1.216640502	1.94057725	1.601921757
13133	0.062827225	0.078659869	0.065201984			0.039807824
13137	0.934928945	1.519300801	1.46420978	0.821036107	1.21901528	0.90459849
13138	28.16454749	48.56372906	9.863926293	91.64992151	118.2003396	26.65614276
13140	0.041884817					
13141	0.104712042		0.01275691			0.005490734
13143						
13146	0.02842184					
13147	0.065818998		0.015591779	0.020408163		0.026080988
13148						
13149						
13150	0.019446522					
13170						
13171	0.016454749					
13176	0.010471204					
13177	0.017950636					
13178						
13179	0.043380703	0.040786599	0.004252303			0.006863418
13183	0.011967091					
13186	0.290201945					
13367	2.309648467	0.731245448	0.555634302	3.640502355	3.701188455	0.592999314
13371	10.2737472		0.043940468	0.324960754	0.112054329	
13388	0.391922214					
13389	0.019446522					
13393	0.373971578			0.015698587		
13417	0.035901272					
13421	16.4263276	1.230881282	1.817150957	8.552590267	4.653650255	1.254632807
13430	0.116679132	0.080116533	0.02551382	0.076923077	0.117147708	0.043925875
13485	0.067314884	0.052439913		0.056514914	0.0475382	0.013726836
13784	0.073298429		0.001417434			0.004118051
14189	0.052356021	0.323379461	0.769666903	0.25588697		0.256691833
14257						
14258	0.189977562	0.184996358	0.103472714	0.224489796	0.227504244	0.131777625
14259	0.062827225	0.013109978	0.008504607	0.023547881	0.049235993	0.031571723
14260						
14261						
14262	0.020942408					
14263						
14264						
14266	0.041884817					0.008236102
14268	0.004487659					
14270	0.043380703	0.026219956	0.002834869	0.075353218	0.042444822	0.023335621
14271	0.053851907	0.052439913				
14272	0.022438295					
14279	0.049364248	0.061179898		0.054945055	0.098471986	0.043925875
14280						
14285	0.073298429	0.046613256	0.10205528			
14288	4.913986537	6.119446468	5.552090716	7.863422292	11.4295416	10.98833219
14289	0.06881077		0.008504607			
14290	0.124158564	0.056809905	0.15308292		0.044142615	0.160603981
14294	0.034405385					
14295	0.031413613	0.020393299	0.005669738	0.075353218	0.044142615	
14297						
14300	0.070306657					
14301	0.185489903	0.12381646	0.07654146	0.224489796	0.117147708	0.086479067
14302						
14303						
14304						
14305	0.116679132	0.163146395	0.05102764	0.251177394	0.339558574	0.083733699
14307						
14312	0.02842184					
14313	0.1421092	0.177713037	0.043940468	0.235478807	0.388794567	0.074124914
14316	0.237845924	0.179169701	0.113394755	0.199372057	0.188455008	0.233356211
