!Series_title	"The fibrosis-targeted collagen/integrins gene profile predicts risk of metastasis in pulmonary neuroendocrine neoplasms"
!Series_geo_accession	"GSE181381"
!Series_status	"Public on Aug 04 2021"
!Series_submission_date	"Aug 03 2021"
!Series_last_update_date	"Aug 04 2021"
!Series_summary	"In this study, we sought to identify differentially expressed collagen/integrin genes in PNENs in order to understand the molecular mechanisms underlying the development of stroma-associated fibrosis for invasion and metastasis. We compared collagen/integrin gene expression profiling between PNE tumors (PNETs) and PNE carcinomas (PNECs) using a two-stage design. First, we used PCR Array System for 84 ECM-related genes, and among them, we found COL1A2, COL3A1, COL5A2, ITGA5, ITGAV, and ITGB1 functionally involved in the formation of the stroma-associated fibrosis among PNENs histological subtypes. Second, we examined the clinical association between the six collagen/integrin genes in tumor tissues from 24 patients with surgically excised PNENs.However, the pathological exam of their resected tissues demonstrated that 10 developed lymph node metastasis and 7 distant metastasis. We demonstrated and validated up regulation of the six fibrogenic genes in PNECs and down regulation in PNETs that were significantly associated with metastasis-free and overall survival (P<0.05). Our study implicates up regulation of fibrogenic genes as a critical molecular event leading to lymph node and distant metastasis in PNENs."
!Series_overall_design	"The neoplastic area was micro dissected during the frozen section procedure to ensure the inclusion of neoplastic tissue and distant non-neoplastic tissue as control. Total mRNA was extracted from 24 fresh-frozen tumor and normal tissues using the QIAsymphony miRNA CT 400 kit (Qiagen, CA, USA) according to the manufacturer’s instructions. RNA integrity and quality were determined using the Bioanalyzer 2100 (Agilent Technologies). Complementary DNA was synthesized using the c-DNA – RT² First Strand Kit (Qiagen Sample & Assay Technologies) according to the manufacturer’s protocol. The difference of expression in EMT genes was evaluated by the real-time PCR method. Quantitative reverse transcription-polymerase chain reaction (qRT-PCR) was performed using the RT² Profiler PCR Array System (PAHS-090Z; Qiagen, Dusseldorf, Germany) kit for the human epithelial-to-mesenchymal transition (EMT) pathway with 84 target genes."
!Series_type	"Expression profiling by RT-PCR"
!Series_contributor	"Tabatha,G,Prieto"
!Series_contributor	"Juliana,,Machado-Rugolo"
!Series_contributor	"Camila,M,Baldavira"
!Series_contributor	"Ana,P,Velosa"
!Series_contributor	"Walcy,R,Teodoro"
!Series_contributor	"Alexandre,M,Ab' Saber"
!Series_contributor	"Vera,L,Capelozzi"
!Series_sample_id	"GSM5501317 GSM5501318 GSM5501319 GSM5501320 GSM5501321 GSM5501322 GSM5501323 GSM5501324 GSM5501325 GSM5501326 GSM5501327 GSM5501328 GSM5501329 GSM5501330 GSM5501331 GSM5501332 GSM5501333 GSM5501334 GSM5501335 GSM5501336 GSM5501337 GSM5501338 GSM5501339 GSM5501340 GSM5501341 GSM5501342 GSM5501343 GSM5501344 GSM5501345 GSM5501346 GSM5501347 GSM5501348 GSM5501349 GSM5501350 GSM5501351 GSM5501352 GSM5501353 GSM5501354 GSM5501355 GSM5501356 GSM5501357 GSM5501358 GSM5501359 GSM5501360 GSM5501361 GSM5501362 GSM5501363 GSM5501364 "
!Series_contact_name	"Tabatha,Gutierrez,Prieto"
!Series_contact_email	"tabathaprieto@yahoo.com.br"
!Series_contact_laboratory	"Histomorfometry and Lung genomics"
!Series_contact_department	"Pathology"
!Series_contact_institute	"Faculty of Medicine of University of Sao Paulo"
!Series_contact_address	"Av Dr Arnaldo 455, room 1143"
!Series_contact_city	"Sao Paulo"
!Series_contact_state	"Sao Paulo"
!Series_contact_zip/postal_code	"01246-903"
!Series_contact_country	"Brazil"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181381/suppl/GSE181381_fold-change_data.txt.gz"
!Series_supplementary_file	"ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181381/suppl/GSE181381_non-normalized_data.txt.gz"
!Series_platform_id	"GPL24335"
!Series_platform_taxid	"9606"
!Series_sample_taxid	"9606"
!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA751870"

