ID_REF	GSM548041	GSM548043	GSM548045	GSM548047	GSM548049	GSM548051	GSM548053	GSM548055	GSM548057	GSM548059	GSM548061	GSM548063	GSM548065	GSM548067	GSM548069	GSM548071	GSM548073	GSM548077	GSM548079	GSM548081	GSM548083	GSM548085	GSM548087	GSM548089	GSM548091	GSM548093	GSM548095	GSM548097	GSM548099	GSM548101	GSM548103	GSM548105	GSM548107	GSM548109	GSM548111	GSM548113	GSM548115	GSM548117	GSM548119	GSM548121	GSM548123	GSM548125	GSM548127	GSM548129	GSM548131	GSM548133	GSM548135	GSM548137	GSM548139	GSM548141	GSM548143	GSM548145	GSM548147	GSM548149	GSM548151	GSM548153	GSM548155	GSM548157	GSM548159	GSM548161	GSM548163	GSM548165	GSM548167	GSM548169	GSM548171	GSM548173	GSM548175	GSM548177	GSM548179	GSM548181	GSM548183	GSM548185	GSM548187	GSM548189	GSM548191	GSM548193	GSM548195	GSM548197	GSM548199	GSM548201	GSM548203	GSM548205	GSM548207	GSM548209	GSM548211	GSM548213	GSM548215	GSM548217	GSM548219	GSM548221	GSM548223	GSM548225	GSM548227	GSM548229	GSM548231	GSM548338
10007626745	1.9607	1.9819	2.1791	2.1655	1.5856	2.0485	2.0645	2.2124	1.6315	1.9332	2.2769	2.2102	2.2948	2.0799	2.1146	2.1187	2.1125	2.3633	2.159	2.0954	2.3903	1.825	1.2866	1.9335	2.0205	1.7884	1.9509	1.9498	2.0826	2.2248	2.0769	1.9836	2.1606	1.6473	2.2682	1.9802	1.9817	2.134	2.252	2.1834	2.2127	1.8374	2.4323	1.8976	1.8893	2.017	2.058	1.8165	2.0757	1.7054	1.8338	1.9989	2.0889	2.0524	2.1822	1.9653	1.9672	1.9175	2.3602	2.4172	2.3634	1.868	2.0816	2.276	2.108	1.5918	1.9075	1.7897	2.3716	2.0451	1.7767	2.2977	1.9824	2.2564	1.8317	2.1904	2.0762	2.2359	1.5532	2.1701	2.2562	1.8054	1.9362	1.9043	1.353	2.4129	1.9703	2.1173	1.8536	1.8237	1.9188	2.2525	2.0683	2.1395	2.1884	2.4895
10007626746	2.002	2.1027	2.0318	2.1366	1.0745	1.9181	1.9177	1.8952	1.2056	1.557	2.0807	1.8548	1.8029	1.2964	1.8855	1.9193	1.6645	2.1802	1.9208	1.9702	2.0238	1.8488	1.146	1.7972	1.7923	1.7328	2.0619	1.7317	2.0122	1.8558	1.9662	1.6956	2.1908	0.9922	2.133	1.9655	1.7793	1.9652	1.8128	1.9766	2.2669	1.8852	2.236	1.7896	1.7566	1.9381	1.9793	1.8073	1.7351	1.4096	1.397	1.9342	2.0205	1.7144	1.9121	1.9001	1.8382	1.9383	2.3721	2.2847	2.112	1.6735	2.1113	2.0648	1.61	1.2908	2.1499	1.7397	2.0245	1.9577	1.292	2.1837	1.6774	1.9276	1.4226	2.096	1.9127	1.9886	1.5013	1.8743	2.0796	1.8287	1.9514	1.6564	0.6253	2.202	1.7915	2.0543	1.4185	1.8008	1.4736	1.8837	2.026	1.9321	2.0447	1.9765
10007626747	1.6236	1.5299	1.6654	1.7645	0.7856	1.7532	1.5178	1.7231	1.2446	1.3536	1.8981	1.5874	1.8427	1.1913	1.4774	1.513	1.573	1.6794	1.6706	1.6457	1.933	1.5512	0.756	1.4829	1.3901	1.2536	1.5215	1.4927	1.6148	1.6475	1.7088	1.1045	1.6562	0.7368	1.7708	1.58	1.3748	1.8271	1.4821	1.615	1.7737	1.6971	2.0117	1.4127	1.5143	1.5323	1.6573	1.3574	1.5427	1.0455	1.1606	1.4884	1.7555	1.0675	1.5775	1.4398	1.5129	1.2809	1.977	1.9952	1.8764	1.4603	1.7505	1.8135	1.3601	0.9521	1.3783	0.9768	2.0707	1.6557	1.0093	1.938	1.4455	1.9095	1.1423	1.9033	1.4166	1.5438	1.1652	1.5997	1.8513	1.3516	1.5451	1.3292	0.476	1.8431	1.3834	1.7529	1.1233	1.3432	1.3962	1.7528	1.6955	1.7532	1.8769	1.6587
10007626748	1.7582	1.6981	1.9425	1.8811	1.3351	1.8372	1.9231	2.0117	1.4225	1.6941	2.001	2.0276	2.01	1.87	1.9585	1.9396	1.9537	2.203	1.9122	1.9105	2.1784	1.6592	1.1103	1.7036	1.7363	1.6571	1.7044	1.7329	1.8604	2.0166	1.8564	1.8885	1.914	1.4741	2.1032	1.819	1.7818	1.8607	2.0734	1.9866	1.9124	1.7242	2.1966	1.6691	1.7633	1.8289	1.803	1.6163	1.9663	1.4885	1.5377	1.8256	1.8874	1.8636	1.9941	1.8242	1.7072	1.7302	2.1324	2.2134	2.2105	1.635	1.8432	2.073	1.8297	1.3997	1.6726	1.6197	2.2038	1.8677	1.5636	2.1085	1.7435	2.0393	1.5392	2.0054	1.8559	2.0377	1.3199	2.1271	2.0485	1.7926	1.7794	1.7756	1.118	2.1811	1.8071	1.9155	1.5925	1.7434	1.8187	2.033	1.9274	1.8838	1.9696	2.3102
10007626749	1.7438	1.7891	1.8986	1.8625	1.2624	1.7368	1.7019	1.8243	1.4286	1.4945	1.9438	1.7226	1.7181	1.563	1.7888	1.7647	1.7113	2.0007	1.7668	1.9541	1.9565	1.6757	1.1566	1.4762	1.8065	1.4561	1.675	1.6248	1.7328	1.8287	1.7211	1.5723	1.8307	1.3836	1.9838	1.7588	1.6456	1.7987	1.9505	1.9347	1.8273	1.5607	1.9609	1.6939	1.6766	1.6481	1.7767	1.6253	1.6769	1.4272	1.5135	1.6955	1.7416	1.6815	1.7283	1.7114	1.6337	1.5617	1.9952	1.9218	1.9346	1.5749	1.7101	1.8901	1.6725	1.382	1.573	1.4419	1.9328	1.6417	1.5809	1.7703	1.6909	1.822	1.5289	1.7799	1.5988	1.7116	1.4688	1.9272	1.671	1.5346	1.6527	1.5466	0.9142	2.014	1.5618	1.6809	1.6241	1.7549	1.8088	1.7455	1.871	1.7707	1.8882	1.9471
10007626750	2.1072	2.045	2.1185	2.1056	1.4047	1.997	2.2607	2.3646	1.4616	1.5371	2.2707	2.1079	2.048	1.3544	2.1657	1.7012	2.2677	2.3627	2.1378	2.0325	2.36	1.8743	1.2384	2.1822	1.8784	1.8849	1.7977	2.2079	2.0725	2.3245	1.8977	2.3514	1.8466	0.9144	2.406	2.0492	2.0325	2.2779	2.501	2.3516	2.5144	1.928	2.3604	1.7738	2.171	1.8387	2.3241	1.8643	2.3225	1.4839	1.5082	2.054	2.1437	2.1965	2.3534	2.2112	1.8946	1.9479	2.1552	1.8196	2.3862	2.1221	2.1715	1.86	1.6756	1.5162	1.6531	2.0563	2.3976	1.896	1.5934	2.1889	1.9372	2.2121	1.5367	1.9172	2.1458	2.2219	1.3317	2.256	1.7466	2.1033	1.8687	1.9633	0.6786	2.2107	2.0233	1.9973	1.9684	1.9896	2.3396	2.2753	2.3299	2.2899	2.3676	2.4871
10007626751	1.7946	1.9188	1.8254	2.0619	1.1427	2.0578	1.8235	2.1383	1.106	1.5779	2.0334	2.0461	1.8737	1.1467	2.2782	1.9264	1.8087	1.8039	2.2278	2.0954	1.9537	1.779	1.3011	1.7561	1.8771	1.7243	1.9719	1.7841	1.9619	1.9552	1.9069	1.9033	1.9114	1.0329	2.0878	1.7711	1.8102	2.0124	1.9982	2.0347	2.1964	2.0963	2.0343	1.7958	1.9066	1.7614	2.0157	1.8261	1.802	1.5173	1.3808	1.9478	2.0443	1.8551	1.9757	1.9692	1.6677	1.8168	2.0735	1.9375	1.963	1.7665	1.9122	2.0254	1.7488	1.3957	1.816	1.7991	2.2027	1.932	1.385	2.0267	1.8911	2.0589	1.3367	1.9252	1.9561	1.9755	1.4739	2.0907	1.8538	1.8616	1.9175	1.8826	0.5727	2.1998	1.8505	1.911	1.7951	1.7634	2.0029	1.9059	2.0014	1.8895	2.0019	1.9029
10007626752	1.494	1.4441	1.5232	1.0933	0.8879	1.3916	1.478	1.5305	0.72	1.1656	1.2198	1.3263	1.1654	0.8292	1.3675	1.4627	1.2013	1.4978	1.452	1.2463	1.3233	1.3216	0.9143	1.331	1.3946	1.2368	1.3798	1.1987	1.3103	1.264	1.4193	1.3729	1.3058	0.9167	1.5328	1.3455	1.4868	1.0956	1.5825	1.3915	1.4601	1.3214	1.1138	1.3045	1.3882	1.4459	1.1983	1.2094	1.6138	1.1911	1.031	1.4654	1.3408	1.3915	1.613	1.264	1.2666	1.3939	1.3825	1.4687	1.4474	1.3961	1.4506	1.3153	1.19	1.1704	1.2654	1.235	1.347	1.427	1.2394	1.2543	1.2839	1.2761	0.9981	1.2617	1.4359	1.4545	0.8872	1.6526	1.3281	1.4753	1.1925	1.1621	0.3574	1.5214	1.3109	1.2897	1.239	1.2881	1.3622	1.2323	1.528	1.1084	1.3768	1.1975
10007626753	-1.5646	-0.361	-0.4813	-1.326	-1.6903	-0.8075	-0.6386	-1.0313	-1.6704	-1.0537	-1.34	-0.8206	-0.809	-0.9186	-0.7751	-0.7933	-1.0746	-1.3394	-1.1323	-0.7253	-1.1792	-0.7252	-1.3333	-1.519	-0.4402	-1.0337	-0.4187	-1.1344	-0.9141	-1.1916	-0.2954	-0.734	-0.4539	-1.6965	-0.6718	-0.1918	-0.5319	-1.2697	-0.7426	-0.9836	-1.5551	-1.1156	-1.3213	-0.8796	-0.7928	-0.892	-1.3807	-0.774	-1.0813	-0.6592	-1.388	-0.7754	-0.3302	-1.2743	-1.2005	-0.8168	-1.2827	-0.5351	-1.4251	-0.765	-0.7847	-1.2943	0.3609	-1.2744	-0.8725	-1.2313	-1.3183	-0.6958	-0.1529	-0.6046	-1.0307	1.5458	-1.4224	-0.9049	-1.0701	-1.0708	-1.0726	-0.4275	-0.9964	-1.4101	-0.6854	-1.169	-0.9865	-1.3603	-1.8165	-0.6095	-1.0969	-0.756	-1.108	-0.8971	-1.1662	-1.5321	-0.9745	-1.261	-0.5473	-1.4557
10007626754	1.1037	0.7944	0.7136	0.9757	0.5193	0.7311	0.7059	1.1144	0.7949	0.8591	1.1781	0.9578	1.257	0.1088	0.8656	0.6815	0.448	0.3277	0.4421	0.9376	1.3676	0.6246	-0.0947	0.2974	0.8987	0.4606	0.8065	1.0141	0.5129	0.5503	0.9662	0.2942	1.0154	0.0748	0.6977	0.4231	0.6764	0.9355	0.5225	0.6841	0.8941	1.2257	1.307	0.7432	0.5545	0.6988	1.2361	0.6012	0.5142	0.5412	0.8834	0.6183	0.9591	0.033	0.5433	0.4601	0.8558	0.7281	1.0371	1.0212	0.8241	0.8628	1.1852	0.9096	0.5586	0.1563	0.2813	0.2621	1.3662	0.8976	0.1554	1.0098	0.7086	1.2836	0.7978	1.1727	0.185	0.6677	0.393	0.3815	1.3022	0.3917	0.2193	0.073	0.9019	0.8821	0.9107	0.7346	0.2468	0.5779	0.3941	1.0195	0.9533	0.9736	0.8145	0.4846
