ID_REF	GSM548042	GSM548044	GSM548046	GSM548048	GSM548050	GSM548052	GSM548054	GSM548056	GSM548058	GSM548060	GSM548062	GSM548064	GSM548066	GSM548068	GSM548070	GSM548072	GSM548074	GSM548078	GSM548080	GSM548082	GSM548084	GSM548086	GSM548088	GSM548090	GSM548092	GSM548094	GSM548096	GSM548098	GSM548100	GSM548102	GSM548104	GSM548106	GSM548108	GSM548110	GSM548112	GSM548114	GSM548116	GSM548118	GSM548120	GSM548122	GSM548124	GSM548126	GSM548128	GSM548130	GSM548132	GSM548134	GSM548136	GSM548138	GSM548140	GSM548142	GSM548144	GSM548146	GSM548148	GSM548150	GSM548152	GSM548154	GSM548156	GSM548158	GSM548160	GSM548162	GSM548164	GSM548166	GSM548168	GSM548170	GSM548172	GSM548174	GSM548176	GSM548178	GSM548180	GSM548182	GSM548184	GSM548186	GSM548188	GSM548190	GSM548192	GSM548194	GSM548196	GSM548198	GSM548200	GSM548202	GSM548204	GSM548206	GSM548208	GSM548210	GSM548212	GSM548214	GSM548216	GSM548218	GSM548220	GSM548222	GSM548224	GSM548226	GSM548228	GSM548230	GSM548232	GSM548339
10007626745	2.186	2.1915	2.2737	2.1323	2.2068	2.185	2.1886	2.0457	1.9819	2.2555	1.9092	2.0406	2.2278	2.0589	2.0469	2.2086	2.0873	2.0726	2.3467	1.9039	2.1877	1.935	2.0241	2.3468	2.0425	2.0493	2.1877	2.1658	2.0245	2.1063	2.3823	2.116	2.0064	2.0798	2.2402	2.1081	2.1637	2.043	2.1005	2.2007	2.0703	2.2846	2.049	2.0747	2.0263	2.2074	2.1658	2.2309	2.0284	2.2378	1.9401	2.2304	2.0594	2.2256	2.094	2.0365	2.054	2.1202	2.193	2.0633	1.996	1.9994	2.2122	2.1999	2.1489	2.0384	2.2398	2.3799	2.2808	2.1154	2.274	2.0654	2.1792	2.1811	2.2286	1.9266	2.0361	2.109	2.0477	2.205	2.2094	2.0303	2.133	2.3078	2.0757	2.0681	2.0671	2.2604	2.2081	2.047	2.1852	2.2712	2.3304	2.1596	2.0834	2.0356
10007626746	2.111	2.108	2.0104	2.0735	2.1514	2.1115	1.9795	2.0859	2.0794	2.1882	2.096	2.1356	2.0743	1.9751	2.1293	2.1854	1.9843	2.0079	2.2809	2.1069	2.1583	2.1351	1.9525	2.14	1.9435	2.0243	2.0692	2.0909	2.0559	2.0772	2.1836	1.914	2.0217	2.0929	2.0184	2.059	1.9403	1.9079	1.9695	2.0195	1.9204	2.0962	2.0348	2.047	2.0869	2.0945	2.1172	2.057	2.1163	2.1361	2.0306	2.0935	2.0627	2.0136	2.0756	2.0233	1.9389	2.0076	2.0283	2.0048	1.9348	1.9996	2.1233	2.0701	2.0301	1.9372	2.1541	2.1652	2.146	2.039	2.137	1.9895	2.1056	2.0799	2.1912	2.021	2.1011	2.0697	2.1267	2.1264	2.0994	2.0321	2.0681	2.1869	2.0422	1.9847	2.0668	2.0913	2.0381	1.9011	2.1424	2.1585	2.2497	1.9829	1.9831	2.1801
10007626747	1.8772	1.9446	1.8981	1.8247	1.8766	1.8108	1.9203	1.7491	1.6768	1.8415	1.6309	1.7724	2.0066	1.6949	1.8987	1.975	1.7975	1.8031	1.9575	1.8885	1.8822	1.5868	1.7043	1.9316	1.6691	1.77	1.8854	1.8136	1.9331	1.835	2.0668	1.683	1.6401	1.8161	1.9253	1.7482	1.7894	1.6751	1.7182	1.9075	1.6883	1.9122	1.7614	1.9037	1.6509	1.8157	1.9252	1.8294	1.6977	1.9862	1.658	1.8151	1.6969	1.8284	1.7525	1.7635	1.6966	1.77	1.9211	1.6347	1.5981	1.6129	1.8708	1.8144	1.8319	1.7483	2.0049	1.956	2.0303	1.839	1.9372	1.7678	1.8887	1.7194	1.847	1.606	1.7422	1.8444	1.7804	1.9259	1.8578	1.7334	1.8634	2.0378	1.7619	1.7253	1.844	1.9607	1.8385	1.7128	1.8574	1.9306	2.02	1.8138	1.8315	1.7522
10007626748	2.0204	1.9322	2.0261	1.8523	1.9446	1.9386	2.0248	1.7262	1.7004	2.0644	1.5667	1.7409	1.9698	1.8011	1.8105	2.0173	1.8176	1.8522	2.0955	1.7369	1.9555	1.6486	1.819	1.9484	1.8152	1.8432	1.9406	1.9815	1.9918	1.8367	2.1932	1.8545	1.7074	1.8641	2.0081	1.835	1.9221	1.8392	1.7969	1.979	1.7382	2.0819	1.7989	1.9169	1.7779	1.9304	1.931	1.98	1.766	2.0394	1.766	1.9631	1.7666	1.9987	1.8646	1.7962	1.7176	1.9017	1.9621	1.7961	1.6728	1.756	2.0291	2.0063	1.9516	1.9182	1.9804	2.1172	2.104	1.9309	1.9995	1.7374	1.9015	1.9142	1.9973	1.7526	2.0329	1.8728	1.9257	1.9361	2.0214	1.8246	1.9166	2.0906	1.8185	1.8676	1.8524	2.0339	2.0134	1.827	1.9562	1.994	2.037	1.8859	1.9107	1.8118
10007626749	1.9329	1.8191	1.9377	1.9132	1.967	1.9253	1.8545	1.7633	1.6593	1.8999	1.6771	1.7052	1.7425	1.9658	1.7052	1.8833	1.8062	1.843	2.089	1.7868	2.0269	1.7116	1.7701	1.9666	1.7196	1.7393	1.8593	1.8721	1.6967	1.8909	1.7958	1.9074	1.683	1.8617	1.8363	1.7879	1.7578	1.7674	1.7684	1.9043	1.7091	1.9915	1.7441	1.7947	1.7868	1.8424	1.8905	1.9307	1.8417	1.7716	1.703	1.7471	1.8379	1.9102	1.8318	1.7393	1.6788	1.9013	1.8847	1.6869	1.6788	1.7381	1.8905	1.8486	1.8042	1.6415	1.9182	1.9016	1.9987	1.8697	1.8898	1.6208	1.8178	1.7885	1.9967	1.6721	1.7943	1.6941	1.8216	1.8424	1.693	1.7526	1.6725	1.809	1.7052	1.7913	1.7631	1.9352	1.9382	1.7501	1.9453	1.7835	2.0403	1.876	1.8431	1.5674
10007626750	2.2413	2.0943	2.3039	2.2299	2.0062	1.9667	2.2429	1.9232	2.0332	2.0437	2.095	1.8816	1.7855	2.1007	1.7066	2.114	1.9986	2.1478	2.154	1.8793	2.103	1.8135	1.8258	2.378	1.993	2.091	1.9578	2.0834	1.9268	2.1192	1.8452	2.2154	1.9549	2.0321	1.7977	1.7079	2.1919	2.1452	2.2053	2.192	2.2676	2.4127	1.9786	2.0288	2.1819	2.2156	2.0622	2.1013	2.0817	1.9296	1.9038	2.2642	2.2088	2.2405	2.0113	2.2465	1.8523	2.0544	2.2803	2.1964	1.8876	2.118	2.1053	2.2261	1.7112	1.6422	1.9248	2.1429	2.0083	2.0994	1.9363	1.9066	2.0095	2.0248	1.9546	1.8566	1.6615	2.0025	1.8772	2.1199	1.6168	2.0353	1.9226	1.6587	1.9086	2.0138	1.9317	2.414	2.1371	1.8857	2.2236	2.096	2.1817	2.3194	1.9824	1.734
10007626751	1.9781	1.8762	2.0149	1.9529	1.889	1.8272	1.9035	1.9151	1.8889	1.876	1.9228	1.8721	1.8475	2.051	1.7655	1.9908	1.9023	1.8976	1.9527	1.8624	1.9616	1.7933	1.9397	1.9406	1.7566	1.9052	2.0407	1.8783	1.8284	2.0299	1.927	1.9685	1.8469	2.0506	1.8527	1.7685	1.787	1.8497	1.8394	1.893	1.8405	2.0208	1.9299	1.9176	1.9446	1.9183	1.9804	1.9209	1.9664	1.8735	1.8143	1.9152	1.9001	1.8647	1.8563	1.9003	1.8107	1.9251	1.9626	1.8612	1.8908	1.8783	2.0007	1.8808	1.9026	1.6757	1.9142	1.9719	1.8377	1.9492	1.936	1.8398	2.0407	1.9431	1.9574	1.8521	1.9638	1.8059	1.8668	1.9461	1.7534	1.8433	1.7091	1.8012	1.836	1.9335	1.9533	1.9831	1.9682	1.7512	1.9282	1.7214	1.953	1.9364	1.8342	1.8478
10007626752	1.2371	1.2286	1.1961	1.3639	1.4003	1.3431	1.3358	1.2489	1.3053	1.3332	1.311	1.2235	1.2133	1.4336	1.4099	1.3341	1.1463	1.2387	1.4643	1.3076	1.413	1.3509	1.2161	1.1587	1.1699	1.2503	1.1925	1.1948	1.2912	1.2631	1.3357	1.247	1.22	1.3582	1.1613	1.1509	1.1592	1.0311	1.1387	1.1828	1.133	1.1637	1.1816	1.2193	1.324	1.2642	1.2483	1.269	1.2952	1.3086	1.2089	1.3083	1.3229	1.1689	1.2909	1.2007	1.1362	1.2545	1.2134	1.3174	1.0101	1.1981	1.2898	1.2523	1.1758	1.1245	1.3775	1.2478	1.1766	1.3092	1.1812	1.0116	1.2411	1.2135	1.2413	1.2356	1.2602	1.2835	1.3819	1.2974	1.169	1.2083	1.2256	1.0915	1.2545	1.3863	1.2856	1.3164	1.1927	1.2314	1.3869	1.278	1.4287	1.1922	1.1864	1.2416
10007626753	-0.2949	-0.7644	-0.8866	-0.6062	-0.8171	-0.3249	-0.8967	-0.781	-0.7959	-0.3907	-0.4601	-0.2321	-0.3016	-0.5531	0.1043	-0.2358	-0.2711	-0.5798	-0.1646	-0.3986	-0.4714	-0.3616	-0.947	-0.4391	-0.5682	-0.4834	-0.5438	-0.9187	-0.7206	-0.6144	-0.6568	-0.6068	-0.4716	-0.1822	-0.7531	-0.7712	-0.9429	-0.7335	-1.0771	-0.7979	-0.6113	-0.1069	-0.8372	-1.2548	-0.6015	-0.4899	-0.3955	-0.6305	-0.9189	-0.2523	-0.3458	-0.7329	-0.7179	-0.7848	-0.5949	-0.8041	-0.7985	-0.9063	-0.8792	-0.6785	-0.8298	-0.7816	-0.5386	-0.6738	-0.6781	-0.9245	-0.7203	-0.5976	-0.4809	-0.9278	-0.5491	-0.7415	-0.4512	-0.428	-0.2477	-0.8752	-0.9484	-0.3745	-0.3005	-0.5097	-0.5696	-0.5989	-0.6854	-0.2022	-0.5954	-0.8437	-0.7656	-0.5716	-0.4411	-0.79	-0.3836	-0.1861	0.0936	-0.7454	-0.8609	-0.1415
10007626754	1.1355	1.0949	1.0807	1.0369	1.0992	0.9919	0.9843	0.8951	1.1929	0.9583	1.1511	1.0971	0.976	0.8863	1.0035	0.9842	1.0639	0.958	1.0086	1.0717	1.0176	1.0528	1.0665	1.1293	0.9389	1.095	1.0759	0.9965	0.9868	1.0689	1.0376	0.9454	1.0342	1.1072	1.0049	0.9852	0.8589	0.8083	0.9621	1.0233	0.8538	1.0594	1.1088	1.0767	1.1276	1.1064	1.0966	1.0663	1.0716	1.0896	1.1242	0.9919	1.0719	0.866	0.9497	1.0456	1.0264	0.9972	0.978	1.0374	0.9698	1.0497	1.0434	0.9997	1.1165	0.8672	1.0491	1.1322	1.1882	0.9642	1.1033	0.9713	1.0258	1.061	1.1647	1.134	0.9626	0.9003	0.9274	1.0294	0.9778	1.083	1.0196	1.1479	0.924	1.0669	1.136	1.0183	1.0649	0.8507	0.9377	1.0413	1.0138	1.03	0.9034	1.1694
